text_id,diff_CAREC,diff_CAREC_M,diff_CARES,diff_CML2RI,diff_length,diff_flesch_reading_ease,diff_flesch_kincaid_grade_score,diff_gunning_fog_index,diff_coleman_liau_index,diff_smog_index,diff_dale_chall_score,diff_ARI,diff_linsear_formula,diff_difficult_words_count,diff_syllable_count,diff_lexicon_count,diff_sentence_count,diff_char_count,diff_letter_count,diff_polysyllabcount,diff_monosyllabcount,diff_fernansex_huerta,diff_szigriszt_pazos,diff_gutierrez_polini,diff_crawford,diff_cpidr_density,diff_depid_density,diff_max_embedding_depth,diff_avg_embedding_depth,diff_mean_entropy,diff_mean_entropy_sents,diff_word_length,diff_wordFreq_frequency,diff_gpt2_surprisal,diff_Wordfreq_Frequency,diff_Length,diff_TF,diff_CML2RI_(-),diff_flesch_reading_ease_(-),diff_lexicon_count_(-),diff_monosyllabcount_(-),diff_fernansex_huerta_(-),diff_szigriszt_pazos_(-),diff_gutierrez_polini_(-),diff_wordFreq_frequency_(-),CAREC_Adv,CAREC_M_Adv,CARES_Adv,CML2RI_Adv,length_Adv,flesch_reading_ease_Adv,flesch_kincaid_grade_score_Adv,gunning_fog_index_Adv,coleman_liau_index_Adv,smog_index_Adv,dale_chall_score_Adv,ARI_Adv,linsear_formula_Adv,difficult_words_count_Adv,syllable_count_Adv,lexicon_count_Adv,sentence_count_Adv,char_count_Adv,letter_count_Adv,polysyllabcount_Adv,monosyllabcount_Adv,fernansex_huerta_Adv,szigriszt_pazos_Adv,gutierrez_polini_Adv,crawford_Adv,cpidr_density_Adv,depid_density_Adv,max_embedding_depth_Adv,avg_embedding_depth_Adv,mean_entropy_Adv,mean_entropy_sents_Adv,word_length_Adv,wordFreq_frequency_Adv,gpt2_surprisal_Adv,Wordfreq_Frequency_Adv,Length_Adv,CAREC_Ele,CAREC_M_Ele,CARES_Ele,CML2RI_Ele,length_Ele,flesch_reading_ease_Ele,flesch_kincaid_grade_score_Ele,gunning_fog_index_Ele,coleman_liau_index_Ele,smog_index_Ele,dale_chall_score_Ele,ARI_Ele,linsear_formula_Ele,difficult_words_count_Ele,syllable_count_Ele,lexicon_count_Ele,sentence_count_Ele,char_count_Ele,letter_count_Ele,polysyllabcount_Ele,monosyllabcount_Ele,fernansex_huerta_Ele,szigriszt_pazos_Ele,gutierrez_polini_Ele,crawford_Ele,cpidr_density_Ele,depid_density_Ele,max_embedding_depth_Ele,avg_embedding_depth_Ele,mean_entropy_Ele,mean_entropy_sents_Ele,word_length_Ele,wordFreq_frequency_Ele,gpt2_surprisal_Ele,Wordfreq_Frequency_Ele,Length_Ele
1_10_1,-0.0063499999999999945,-0.03138000000000002,0.07430403945659089,-5.37488898129919,135.0,-17.97,6.9,7.09,0.8999999999999986,1.799999999999999,1.1600000000000001,8.600000000000001,11.0,7.0,30.0,24.0,-2.0,109.0,107.0,0.0,19.0,-18.060000000000002,-15.040000000000006,-5.700000000000003,0.5,0.011717171717171793,-0.0121212121212122,1.0,0.6000000000000001,0.3851556439698438,-0.19741755872257816,-0.021228545618788175,0.09827494000000003,0.17544925611357254,0.6031823032202244,-0.14807053005629367,1.4209819511504804,5.37488898129919,17.97,-24.0,-19.0,18.060000000000002,15.040000000000006,5.700000000000003,-0.09827494000000003,0.12827,0.1964,0.2451884737036322,0.868170453448279,558,55.61,13.5,14.57,10.11,11.2,9.63,17.1,18.5,15,134,97,3,460,448,6,68,89.89,88.44,39.08,2.7,0.5050505050505051,0.4545454545454545,4,3.0,5.944395650230186,5.8841943391237335,4.25925925925926,0.8179854687,4.777049775395107,11.612069898914939,4.5207280080889785,0.13462,0.22778,0.1708844342470413,6.243059434747469,423,73.58,6.6,7.48,9.21,9.4,8.47,8.5,7.5,8,104,73,5,351,341,6,49,107.95,103.48,44.78,2.2,0.4933333333333333,0.4666666666666667,3,2.4,5.559240006260342,6.081611897846312,4.280487804878049,0.7197105287,4.601600519281535,11.008887595694715,4.668798538145272
1_10_2,0.02173,0.025260000000000005,0.015370383959298711,3.8565729362653265,8.0,-7.210000000000008,2.7,3.7600000000000007,2.05,3.0999999999999996,0.41999999999999904,4.5,5.458333333333333,-2.0,-1.0,-2.0,-2.0,10.0,9.0,3.0,1.0,-7.25,-8.179999999999993,-4.390000000000001,0.6000000000000001,-0.0002312673450508007,0.03214616096207218,0.0,0.16666666666666696,-0.09968997830391757,-0.1653920036489005,0.12850467289719614,-0.08602922000000002,0.1175673765079761,0.20780284736567367,0.19669094949993848,-3.5149277688603604,-3.8565729362653265,7.210000000000008,2.0,-1.0,7.25,8.179999999999993,4.390000000000001,0.08602922000000002,0.1127,0.17026,0.1651993805351477,18.23837043311688,503,74.22,8.4,10.72,8.83,9.5,8.11,11.6,12.375,7,116,89,4,415,396,5,68,106.09,103.39,44.25,2.1,0.4891304347826087,0.5108695652173914,3,2.5,5.43827473409327,6.310886415928852,3.878504672897196,0.62767948,4.315235009894044,10.79659889412942,4.449438202247191,0.09097,0.145,0.149828996575849,14.381797496851554,495,81.43,5.7,6.96,6.78,6.4,7.69,7.1,6.916666666666667,9,117,91,6,405,387,2,67,113.34,111.57,48.64,1.5,0.4893617021276595,0.4787234042553192,3,2.333333333333333,5.537964712397187,6.476278419577753,3.75,0.7137087,4.197667633386068,10.588796046763747,4.252747252747253
1_10_3,0.031100000000000017,-0.0006200000000000094,0.1306343456402518,-10.662941718939384,220.0,-45.510000000000005,15.399999999999999,14.959999999999999,2.869999999999999,-8.8,2.9499999999999993,19.3,17.875,11.0,58.0,37.0,-2.0,184.0,185.0,2.0,18.0,-43.230000000000004,-42.92,-15.57,1.2999999999999998,0.005255255255255276,-0.011261261261261313,1.0,2.0,0.217378783574107,-0.46067107177788547,0.4351851851851851,0.139723924,0.5703209738530255,0.1401811547756182,0.34444006639727753,49.28463417224168,10.662941718939384,45.510000000000005,-37.0,-18.0,43.230000000000004,42.92,15.57,-0.139723924,0.14752,0.20998,0.2578851226612091,3.4709282242424067,601,33.08,22.2,23.27,9.36,0.0,10.11,27.1,28.0,16,149,109,2,493,484,6,75,67.25,67.17,33.05,2.9,0.4774774774774775,0.4054054054054054,4,4.0,6.216697215617485,6.216697215617485,4.25,0.709640454,4.835878001491801,10.762451636274577,4.440330477356182,0.11642,0.2106,0.1272507770209573,14.133869943181791,381,78.59,6.8,8.31,6.49,8.8,7.16,7.8,10.125,5,91,72,4,309,299,4,57,110.48,110.09,48.62,1.6,0.4722222222222222,0.4166666666666667,3,2.0,5.999318432043378,6.67736828739537,3.814814814814815,0.56991653,4.265557027638775,10.622270481498958,4.095890410958904
1_10_4,0.05058,0.025400000000000006,0.15592609624365028,-4.846297675153892,200.0,-19.630000000000003,5.499999999999999,5.1899999999999995,1.4000000000000004,2.6999999999999993,1.58,5.9,7.607142857142858,9.0,52.0,33.0,-2.0,167.0,167.0,5.0,22.0,-17.22,-14.11,-5.18,0.8,0.0029940119760478723,0.0031094527363184077,1.0,0.08333333333333304,0.1743975534720965,-0.17551690028105416,0.21076097888032175,0.198486893,0.26760233091117236,0.07043787236328569,0.13753595616181524,3.576633921298793,4.846297675153892,19.630000000000003,-33.0,-22.0,17.22,14.11,5.18,-0.198486893,0.12652,0.12496,0.4710587885786587,11.627955730612246,935,60.48,11.7,13.91,9.17,12.5,9.5,14.3,14.75,22,227,165,6,771,744,16,124,94.79,93.63,41.84,2.6,0.5029940119760479,0.4583333333333333,6,2.833333333333333,5.460724837953517,6.502744717704176,4.057894736842106,0.9843694977,4.615803800933158,11.080781141892626,4.5080840743734845,0.07594,0.09956,0.3151326923350084,16.474253405766138,735,80.11,6.2,8.72,7.77,9.8,7.92,8.4,7.142857142857142,13,175,132,8,604,577,11,102,112.01,107.74,47.02,1.8,0.5,0.4552238805970149,5,2.75,5.286327284481421,6.67826161798523,3.847133757961784,0.7858826047,4.348201470021985,11.01034326952934,4.370548118211669
1_10_5,0.06079999999999999,0.03498999999999999,0.1526067296208214,-7.325355260416677,188.0,-12.380000000000003,4.699999999999999,5.18,1.3500000000000014,3.0999999999999996,1.5599999999999987,6.399999999999999,5.050000000000001,8.0,49.0,31.0,-1.0,157.0,154.0,5.0,22.0,-12.450000000000003,-14.200000000000003,-5.119999999999997,0.6000000000000001,0.02645148968678379,-0.013636363636363613,2.0,1.1,0.19315195623359394,0.040449675507604255,0.1973981900452486,0.25850276067800004,0.08322467974648706,0.2010595364386205,0.0976890756302522,20.886815635345044,7.325355260416677,12.380000000000003,-31.0,-22.0,12.450000000000003,14.200000000000003,5.119999999999997,-0.25850276067800004,0.18731,0.24131,0.3295932856162749,5.154786262499977,698,49.69,13.7,14.95,10.63,13.0,10.02,16.4,15.25,24,177,119,4,580,561,12,79,86.44,84.42,39.06,3.2,0.5378151260504201,0.475,5,3.5,6.0992550638935485,6.684451656662215,4.264705882352941,1.021024907778,5.064067961070921,11.419322559528876,4.722689075630252,0.12651,0.20632,0.1769865559954535,12.480141522916654,510,62.07,9.0,9.77,9.28,9.9,8.46,10.0,10.2,16,128,88,5,423,407,7,57,98.89,98.62,44.18,2.6,0.5113636363636364,0.4886363636363636,3,2.4,5.906103107659955,6.644001981154611,4.0673076923076925,0.7625221471,4.980843281324434,11.218263023090255,4.625
1_10_6,0.04321000000000001,0.01422000000000001,0.10699326116049757,-5.12828441781596,226.0,-3.5500000000000114,1.3999999999999995,1.5099999999999998,0.47000000000000064,0.6999999999999993,-0.10999999999999943,1.8999999999999986,1.200000000000001,8.0,52.0,39.0,1.0,188.0,182.0,3.0,30.0,-3.5700000000000074,-3.25,-1.4799999999999969,0.20000000000000018,0.010972612359550604,0.0334445224719101,2.0,0.4333333333333331,0.06430182469569168,-0.21274938614505068,0.0215822618735233,0.2834387629,-0.03366705922198321,-0.8141268579604102,0.07675824684951849,7.226421577711875,5.12828441781596,3.5500000000000114,-39.0,-30.0,3.5700000000000074,3.25,1.4799999999999969,-0.2834387629,0.15504,0.18489,0.359357497020205,9.75235359350479,738,75.24,8.1,11.33,9.46,10.1,9.38,11.7,11.4,23,172,128,6,611,590,9,96,107.11,101.79,43.02,2.2,0.5390625,0.5390625,6,2.833333333333333,5.587321666454585,6.184322825299611,4.128378378378378,0.78019840167,4.502082328147026,11.358663863788246,4.609375,0.11183,0.17067,0.2523642358597074,14.88063801132075,512,78.79,6.7,9.82,8.99,9.4,9.49,9.8,10.2,15,120,89,5,423,408,6,66,110.68,105.04,44.5,2.0,0.5280898876404494,0.5056179775280899,4,2.4,5.523019841758893,6.397072211444661,4.106796116504855,0.49675963877,4.535749387369009,12.172790721748656,4.5326167531504815
1_10_7,0.05828999999999998,0.028980000000000034,0.12022299210415047,0.5925992248833456,153.0,-13.189999999999998,5.0,6.030000000000001,-0.04999999999999982,2.6999999999999993,0.4299999999999997,5.799999999999999,3.3499999999999996,4.0,40.0,31.0,-1.0,122.0,121.0,4.0,25.0,-13.260000000000005,-12.709999999999994,-3.539999999999999,0.3999999999999999,0.028151260504201747,-0.010294117647058842,0.0,0.6499999999999999,-0.010393770815619874,-0.2182642072698755,0.005808917197452246,0.25553274000000004,0.011939323170348182,-0.10733729963590477,-0.10170940170940135,-6.744380341880344,-0.5925992248833456,13.189999999999998,-31.0,-25.0,13.260000000000005,12.709999999999994,3.539999999999999,-0.25553274000000004,0.22593,0.25535,0.3626709775822339,15.321175471037163,729,62.55,12.9,15.89,7.9,12.6,8.59,16.2,14.75,15,176,135,4,595,573,11,107,94.36,91.86,42.22,2.4,0.4852941176470588,0.3897058823529412,4,3.25,5.2724896389635365,5.936708545800194,3.789808917197452,1.2480148787,4.5281576418557155,10.555235483508804,4.2444444444444445,0.16764,0.22637,0.2424479854780834,14.728576246153818,576,75.74,7.9,9.86,7.95,9.9,8.16,10.4,11.4,11,136,104,5,473,452,7,82,107.62,104.57,45.76,2.0,0.4571428571428571,0.4,4,2.6,5.282883409779156,6.154972753070069,3.784,0.9924821387,4.516218318685367,10.662572783144709,4.346153846153846
1_1_1,0.033659999999999995,0.03377999999999998,0.03660411350163989,-3.170472096661536,84.0,-15.759999999999998,4.0,4.48,2.33,3.0,0.9000000000000004,5.199999999999999,3.5999999999999996,10.0,24.0,8.0,-1.0,76.0,74.0,5.0,-3.0,-13.340000000000003,-14.519999999999996,-5.850000000000001,0.8000000000000003,0.02429149797570851,0.008434547908232115,1.0,1.0499999999999998,0.3862373234599872,0.4139016935079667,0.31441379310344875,0.0183660041,0.49866004064684866,0.480256858919331,0.3440934065934069,36.757257326007334,3.170472096661536,15.759999999999998,-8.0,3.0,13.340000000000003,14.519999999999996,5.850000000000001,-0.0183660041,0.23388,0.298,0.3170199985113562,7.70061786666667,660,51.52,13.0,15.49,10.74,13.4,9.82,15.6,15.0,28,165,112,4,549,535,13,75,88.28,87.05,39.07,3.1,0.4473684210526316,0.4122807017543859,4,3.25,5.476365030841344,5.881113459044471,4.392,0.9975825551,3.903856229069999,11.00763343716754,4.776785714285714,0.20022,0.26422,0.2804158850097163,10.871089963328206,576,67.28,9.0,11.01,8.41,10.4,8.92,10.4,11.4,18,141,104,5,473,461,8,78,101.62,101.57,44.92,2.3,0.4230769230769231,0.4038461538461538,3,2.2,5.090127707381357,5.467211765536504,4.077586206896552,0.979216551,3.4051961884231505,10.527376578248209,4.4326923076923075
1_1_2,0.19583,0.18091000000000002,0.194072930921592,-10.420078269395523,185.0,-12.409999999999997,2.7,3.0299999999999994,2.2700000000000005,2.0,1.3099999999999996,3.3999999999999995,1.6428571428571432,10.0,48.0,27.0,0.0,157.0,149.0,6.0,16.0,-9.980000000000004,-10.420000000000002,-4.130000000000003,0.8999999999999999,-0.00635208711433749,-0.029639674544750194,0.0,0.5714285714285716,0.12066653308629327,-0.023526952121889266,0.21613712374581873,0.36183775399999996,0.3263426259840716,0.4989914890248155,0.24580947423217125,0.7085233385389529,10.420078269395523,12.409999999999997,-27.0,-16.0,9.980000000000004,10.420000000000002,4.130000000000003,-0.36183775399999996,0.16587,0.22695,0.3156248189908145,10.444091532565276,658,72.16,7.2,10.69,9.22,11.2,8.52,9.6,7.857142857142858,20,162,112,7,546,517,14,80,106.52,100.72,44.82,2.4,0.4649122807017544,0.4310344827586206,5,3.0,5.100613477419458,6.0180050626137565,3.9565217391304346,1.004459311,3.9530539725437364,10.559293966652026,4.575221238938053,-0.02996,0.04604,0.1215518880692225,20.8641698019608,473,84.57,4.5,7.66,6.95,9.2,7.21,6.2,6.214285714285714,10,114,85,7,389,368,8,64,116.5,111.14,48.95,1.5,0.4712643678160919,0.4606741573033708,5,2.4285714285714284,4.9799469443331645,6.041532014735646,3.740384615384616,0.642621557,3.6267113465596648,10.06030247762721,4.329411764705882
1_1_3,-0.020269999999999996,-0.044539999999999996,0.1461367131795359,1.1747876286713073,162.0,-21.560000000000002,6.2,7.15,3.67,4.4,1.620000000000001,8.9,9.375,9.0,41.0,23.0,-1.0,139.0,134.0,5.0,12.0,-19.150000000000006,-22.78,-9.209999999999994,1.4,0.0656814449917899,0.060207991242474,0.0,0.0,-0.1959112766758464,-0.28777511405269607,0.35306122448979593,0.145719131,0.39148562909141615,0.3863515749679891,0.48451488172201884,36.24398676632967,-1.1747876286713073,21.560000000000002,-23.0,-12.0,19.150000000000006,22.78,9.209999999999994,-0.145719131,0.09245,0.16281,0.242004044707034,10.83533276730767,485,67.72,10.9,14.74,9.41,12.5,8.55,14.8,17.0,14,116,86,3,400,387,8,66,99.57,94.14,41.52,2.5,0.4942528735632184,0.425287356321839,3,2.0,5.629751911499802,6.239892149128426,4.081632653061225,0.745939124,4.049372375830054,10.199870285578179,4.500387897595035,0.11272,0.20735,0.0958673315274981,9.660545138636362,323,89.28,4.7,7.59,5.74,8.1,6.93,5.9,7.625,5,75,63,4,261,253,3,54,118.72,116.92,50.73,1.1,0.4285714285714285,0.365079365079365,3,2.0,5.825663188175648,6.527667263181122,3.7285714285714286,0.600219993,3.657886746738638,9.81351871061019,4.015873015873016
