metric,group,n,mean,std,ci95,mean_std,mean_ci,pval,stars
number_of_paragraphs,original,162.0,162.0,,,162,162,NA,NA
number_of_paragraphs,simplified,162.0,162.0,,,162,162,NA,NA
number_of_sentences,original,162.0,936.0,,,936,936,NA,NA
number_of_sentences,simplified,162.0,931.0,,,931,931,NA,NA
sentences_per_passage,original,5.0,5.777777777777778,2.0246922931615012,0.31414230104127966,5.78 ± 2.02,5.78 ± 0.31,0.7704514086385932,ns
sentences_per_passage,simplified,5.0,5.746913580246914,1.763366798069797,0.27359619305927463,5.75 ± 1.76,5.75 ± 0.27,0.7704514086385932,ns
words_per_passage,original,119.0,119.91975308641975,27.935813385399616,4.3343972454431645,119.92 ± 27.94,119.92 ± 4.33,6.638133805645801e-35,***
words_per_passage,simplified,97.0,97.14197530864197,23.559325746173073,3.6553607804410833,97.14 ± 23.56,97.14 ± 3.66,6.638133805645801e-35,***
sentence_length_words,original,20.0,20.75534188034188,10.272801600207094,0.6589638895447543,20.76 ± 10.27,20.76 ± 0.66,2.7482148023437547e-19,***
sentence_length_words,simplified,16.0,16.903329752953812,7.902449577879698,0.5082771188899897,16.90 ± 7.90,16.90 ± 0.51,2.7482148023437547e-19,***
word_length_characters,original,,4.905114747350005,2.699222874587711,0.03795183576156757,4.91 ± 2.70,4.91 ± 0.04,1.9721609073663208e-11,***
word_length_characters,simplified,,4.7175169959972045,2.4885821431081587,0.038881669594183585,4.72 ± 2.49,4.72 ± 0.04,1.9721609073663208e-11,***
word_frequency_wordfreq,original,,11.255772762040252,5.400730235701324,0.07593579204873041,11.26 ± 5.40,11.26 ± 0.08,2.084326546567352e-06,***
word_frequency_wordfreq,simplified,,10.984817330296336,5.227963856852411,0.08168183794752662,10.98 ± 5.23,10.98 ± 0.08,2.084326546567352e-06,***
word_surprisal_pythia70m,original,,5.011040705297274,3.9952709165706333,0.05617463718027227,5.01 ± 4.00,5.01 ± 0.06,1.305924787365774e-08,***
word_surprisal_pythia70m,simplified,,4.772585352936071,3.8028977105379895,0.05941656886476698,4.77 ± 3.80,4.77 ± 0.06,1.305924787365774e-08,***
