Unnamed: 0,unique_paragraph_id,text,level,text_id,PLL_bert-base-uncased,PLL_roberta-large,PLL_roberta-base,PLL_bert-large-uncased,PLL_bert-base-cased
0,1_10_Adv_1,"Agios Efstratios is so remote, so forgotten by the banks, the government and most of the modern world that the mobile phone network can't process data and there isn't a single ATM or credit-card machine on the island. Before Greece was plunged into financial chaos, residents of this tranquil outpost in the northern Aegean managed quite well. They did their banking at the post office and the few dozen rooms to rent were booked out every summer with people who had heard - by word of mouth - of its spectacular empty beaches, clear seas and fresh seafood.",Adv,1_10_1,226.39675903320312,127.3525390625,166.54049682617188,203.3616638183593,228.56195068359375
1,1_10_Adv_2,"But, because the island still runs on cash, the closure of banks nationwide has been devastating. Residents have been forced to make nine-hour round trips to the nearest big island to get cash and Greek visitors say they can't get together enough cash to come. ""Tourist numbers are down 80% this year,"" said Mayor Maria Kakali, in an office in the village where she grew up, home to around 200 people. ""Even people born here and living in Athens, who have their own places on the island, aren't coming.""",Adv,1_10_2,192.4672241210937,118.58438873291016,125.13282012939452,167.32394409179688,193.2783966064453
2,1_10_Adv_3,"Kakali has badgered the government and a major Greek bank into promising an ATM within weeks but she still feels it may come too late for this season on an island where tourism dwarfs the two other sources of income: fishing and agriculture: ""We have almost no reservations in August, when usually we have people calling us up asking to find a room and we can't help them."" A hard winter ahead may be slightly improved by 50 workers billeted in the village to expand the harbor but there is an even bigger crisis looming because the government has said it will end a decades-old tax break for islands.",Adv,1_10_3,316.6864624023437,170.8995819091797,250.6208038330078,272.8265686035156,315.36773681640625
3,1_10_Adv_4,"Created to help island communities survive when they were suffering mass emigration, a lower sales tax contained the costs of living in places where everything had to be imported and made tourism more affordable. Tourist favorites such as Mykonos fear that losing the tax breaks will make it hard for them to compete with Turkey but, for Agios Efstratios, it poses a far greater threat. ""If we have to pay a tax of 23%, I'm sorry to say it but we will all die on the island,"" says Kakali. Food and fuel are already more expensive than on mainland Greece, there are no economies of scale and little economic flexibility on an island which, even in summer, has only three shops, two restaurants and not a single official hotel. ""This is an expensive island. Everything, even milk or bread, has changed hands three or four times before it gets to us and each middleman has to take a profit,"" said Provatas Costas, a 58-year-old fisherman.",Adv,1_10_4,366.6096801757813,232.20997619628903,305.8485717773437,352.145751953125,368.9317321777344
4,1_10_Adv_5,"For Agios Efstratios and its closest large neighbor, Lemnos, the timing of the crisis is particularly cruel. They were condemned to relative obscurity for years in part because they are served by slow and unreliable ferries. In 2015, the government had finally given the contract to a new, efficient company, drawing floods of new visitors to explore the islands' largely overlooked charms, before the bank controls hit. ""This season started out as the best season in 30 years and, in one week, became the worst,"" said Atzamis Konstantinos, a travel agent in Lemnos who used to earn €15,000 a month as a captain of petroleum tankers and other large ships but came home because he missed it so much.",Adv,1_10_5,349.1908874511719,192.6590118408203,241.93441772460932,326.98760986328125,364.49395751953125
5,1_10_Adv_6,"Lemnos has dozens of wild beaches, where even at the height of summer you can swim and sunbathe virtually alone, a small nightlife scene, and numerous cultural sites. Lemnos is the eighth largest island in Greece so it is in line for the first round of tax increases in autumn 2015 but far less wealthy than many smaller ones. It has just over 3,000 beds for visitors, compared with tens of thousands on an island such as Rhodes. Its councilors say that they will fight the tax rise, although none can say how. ""We have been suffering economically in recent years and, now, we will suffer more,"" said Lemnos Mayor, Dimitris Marinakis. ""When there is not enough money, you reduce your consumption and therefore the whole economy declines.""",Adv,1_10_6,274.8713073730469,154.11724853515625,193.51150512695312,247.24319458007807,274.67120361328125
6,1_10_Adv_7,"If taxes go up, even more young people will leave, warns Mayor Kakali, who has devoted her year in office to improving education on the island to help keep it an attractive place for families. Because it is one of the smallest islands, Agios Efstratios has until 2017 before the rise is due to come in, so Kakali hopes that the roller coaster of Greek politics means it yet may be spared. If not, though, she plans to travel to Athens to remind the distant government what the tax rise would cost. ""The truth is the government doesn't pay much attention to the islands of the north Aegean,"" she said, ""so I would take all the kids from our school to the gates of parliament, to tell them: 'There is still life in these islands'.""",Adv,1_10_7,304.2521667480469,156.31112670898438,206.25816345214844,258.1060791015625,278.47869873046875
7,1_10_Ele_1,"The Greek island of Agios Efstratios is very remote. It has been forgotten by the banks, the government and most of the modern world. It doesn't have a single ATM or credit-card machine. Before the economic crisis in Greece, the people of this peaceful island in the northern Aegean lived quite well. The few rooms to rent were fully booked every summer with people enjoying its empty beaches, clear seas and fresh seafood.",Ele,1_10_1,155.89158630371094,88.28108215332031,122.1938247680664,127.0469741821289,155.0342559814453
8,1_10_Ele_2,"But the island still uses only cash so the closure of the Greek banks has had a serious effect. Local people have to make nine-hour round trips to the nearest big island to get cash. Greek visitors say they don't have enough cash to come. ""Tourist numbers have reduced by 80% this year,"" said Mayor Maria Kakali, in an office in the village where she grew up. The village has about 200 people. ""Even people born here and living in Athens, who have their own places on the island, aren't coming.""",Ele,1_10_2,186.6508026123047,115.15856170654295,129.2130126953125,158.21707153320312,191.98394775390625
9,1_10_Ele_3,"Kakali has asked the government and a major Greek bank to install an ATM, and this should arrive soon. But tourism is the main business on the island, and she feels the ATM may come too late for this season. ""We have almost no reservations in August, when usually we are full."" But there is an even bigger crisis ahead - the government has said it will end a tax break for islands.",Ele,1_10_3,164.947265625,89.90847778320312,115.23846435546876,150.36434936523438,170.73802185058594
