CAREC,CAREC_M,CARES,CML2RI,unique_paragraph_id,text,length,level,text_id,flesch_reading_ease,flesch_kincaid_grade_score,gunning_fog_index,coleman_liau_index,smog_index,dale_chall_score,ARI,linsear_formula,difficult_words_count,syllable_count,lexicon_count,sentence_count,char_count,letter_count,polysyllabcount,monosyllabcount,fernansex_huerta,szigriszt_pazos,gutierrez_polini,crawford,cpidr_density,depid_density,max_embedding_depth,avg_embedding_depth,mean_entropy,mean_entropy_sents,word_length,wordFreq_frequency,TF,gpt2_surprisal,Wordfreq_Frequency,Length
0.23388,0.298,0.3170199985113562,7.70061786666667,1_1_Adv_1,"Unveiling a car with a top speed of 25mph, two seats and no pedals or steering wheel might not make much of an impression at a motor show. But Google, in the US, sent a minor earthquake through the car and taxi industries as it unveiled the latest version of its driverless car. The electrically powered vehicle, which Google has begun testing around its headquarters in Mountain View, California, dispenses with all the normal controls, including foot pedals. Instead, it has a smartphone app that summons it and tells it the destination, and a single STOP button mounted between the two front-facing seats in case the occupants need to override the computer.",660,Adv,1_1_1,51.52,13.0,15.49,10.74,13.4,9.82,15.6,15.0,28,165,112,4,549,535,13,75,88.28,87.05,39.07,3.1,0.4473684210526316,0.4122807017543859,4,3.25,5.476365030841344,5.881113459044471,4.392,0.9975825551,361.9895600298285,3.8915351669812663,10.991063504444634,4.7680835197613725
0.16587,0.22695,0.3156248189908145,10.444091532565276,1_1_Adv_2,"The car, in fact, takes over all the tasks of navigation, steering, acceleration and braking. The company is building about 100 prototypes for a two-year test. The company's co-founder, Sergey Brin, told a conference in California that the vehicle was “still in the prototype stage” but that the project was “about changing the world for people who are not well served by transportation today.” He said of the car: “You're just sitting there; no steering wheel, no pedals. For me, it was very relaxing. About ten seconds after getting in, I forgot I was there. It reminded me of catching a chairlift by yourself – a bit of solitude I found really enjoyable.”",658,Adv,1_1_2,72.16,7.2,10.69,9.22,11.2,8.52,9.6,7.857142857142858,20,162,112,7,546,517,14,80,106.52,100.72,44.82,2.4,0.4649122807017544,0.4310344827586206,5,3.0,5.100613477419458,6.0180050626137565,3.9565217391304346,1.004459311,278.5693215339233,3.9530532391972644,10.559293966652026,4.575221238938053
0.09245,0.16281,0.242004044707034,10.83533276730767,1_1_Adv_3,"Google says that the principal aim of the project is to improve safety and that, because the car is constructed with impact-absorbing foam at the front and a plastic windscreen, “it should be far safer than any other car for pedestrians”. The cars, which have been built specially by a company (as yet unnamed) in Detroit, will be used to investigate further how best to make driverless vehicles work. Google will now run a program to test the cars further, which are not yet for sale.",485,Adv,1_1_3,67.72,10.9,14.74,9.41,12.5,8.55,14.8,17.0,14,116,86,3,400,387,8,66,99.57,94.14,41.52,2.5,0.4942528735632184,0.425287356321839,3,2.0,5.629751911499802,6.239892149128426,4.081632653061225,0.745939124,398.72541382667964,4.036823449254638,10.176847336278993,4.472249269717624
0.13047,0.20247,0.2619898174617034,5.647603875761964,1_1_Adv_4,"One challenge is creating high-definition scans of the roads and surroundings before the cars can drive along them because they cannot gather and process enough information in real time. So far, there are high-detail maps of about 2,000 miles of California's roads, but the state has more than 170,000 miles of public roads. Google says it is interested in licensing the technology to traditional vehicle manufacturers once it has refined it sufficiently. Members of the team had been working on the project even before joining Google, for more than a decade.",559,Adv,1_1_4,56.79,11.0,13.96,12.13,13.4,9.97,14.2,14.625,17,139,91,4,469,457,13,66,93.58,88.92,38.52,3.2,0.5212765957446809,0.4736842105263157,6,4.25,5.037262095897564,5.846726228621406,4.69,0.7188671240909,412.6348623853211,3.7554405234540478,10.818742351021646,5.011926605504587
0.11069,0.19865,0.1702214936435408,10.509074776190452,1_1_Adv_5,"But the prospect of driverless cars replacing human-driven taxis has been the cause of some alarm. “If you get rid of the driver, then they're unemployed,” said Dennis Conyon, the south- east director for the UK National Taxi Association. “It would have a major impact on the labor force.” London has about 22,000 licensed cabs and Conyon estimates that the total number of people who drive taxis for hire in the UK is about 100,000.",433,Adv,1_1_5,69.31,8.3,10.72,9.23,10.7,9.83,10.5,11.125,15,105,75,4,359,343,7,55,103.66,100.87,44.28,2.4,0.4210526315789473,0.3896103896103896,6,3.2,4.94368683897451,5.8187389055892496,4.174418604651163,0.7080488514369,366.2238307349666,3.977141130206956,11.753385974922137,4.685968819599109
0.20739,0.24383,0.3653539717408873,12.044705357142838,1_1_Adv_6,"However, Steve McNamara, general secretary of the 10,500-strong London Taxi Drivers' Association, said: “You won't get these driverless cars in London for 20 or 25 years. Maybe, by then, they'll have a charge point – because there isn't a single one in London now.” Other car makers, including Volvo, Ford and Mercedes, are working on driver-assisted vehicles, which, unlike Google's version, do not dispense with the driver controls. But Chris Urmson, director of the self-driving car project at Google, said that the new prototypes dispensed with the steering wheel and brakes because there was no guarantee that a human occupant would be able to take over in an emergency, and that it was simpler just to have an emergency stop button.",738,Adv,1_1_6,49.49,13.8,15.67,11.67,14.2,10.65,17.8,15.75,28,178,120,4,618,587,15,80,86.24,84.42,37.25,3.2,0.488,0.4251968503937008,3,2.5,4.758379197191388,5.12275432625487,4.232876712328767,0.77553447788,343.40275862068967,3.879386568912626,11.238199556624648,4.84551724137931
-0.00608,0.03392,0.3109821705427883,14.077862771230183,1_1_Adv_7,"Urmson said: “The vehicles will be very basic. We want to learn from them and adapt them as quickly as possible. But they will take you where you want to go at the push of a button. And, that's an important step towards improving road safety and transforming mobility for millions of people.” So far, the Google versions of the self-driving cars have covered 700,000 miles without an accident caused by the computer. The company points out that thousands of people die each year on the roads and that about 80% of crashes can be ascribed to human error. But, they could have some way to go to match Conyon at the National Taxi Association. Aged 79, he has been driving a taxi for 50 years and claims never to have had an accident.",730,Adv,1_1_7,71.34,7.5,8.81,7.42,10.4,8.48,8.0,9.0,19,183,134,8,597,578,13,101,105.7,105.0,47.5,2.1,0.4592592592592592,0.4117647058823529,5,3.0,4.733801073212222,5.588406440395221,3.98,1.11133985400776,328.98320895522386,3.7992533746439574,10.387508461266167,4.313432835820896
0.20022,0.26422,0.2804158850097163,10.871089963328206,1_1_Ele_1,"A car with a maximum speed of 25 miles per hour, two seats and no pedals or steering wheel does not sound very interesting. But Google, in the US, shocked the car and taxi industries when it unveiled the latest version of its driverless car. Google has begun testing the electric car at its headquarters in Mountain View, California. The car does not have all the normal car controls, such as foot pedals. Instead, it has a smartphone app that calls it and tells it the destination, and a STOP button between the two seats in case the passengers need to override the computer.",576,Ele,1_1_1,67.28,9.0,11.01,8.41,10.4,8.92,10.4,11.4,18,141,104,5,473,461,8,78,101.62,101.57,44.92,2.3,0.4230769230769231,0.4038461538461538,3,2.2,5.090127707381357,5.467211765536504,4.077586206896552,0.979216551,355.25922953451044,3.407159877761426,10.51838624987178,4.423756019261638
-0.02996,0.04604,0.1215518880692225,20.8641698019608,1_1_Ele_2,"The company is building about 100 prototypes for a two-year test. The company's co-founder, Sergey Brin, said that the vehicle was still just a prototype. He says that they want to change the world for people who do not find it easy to use transportation today. Talking about the car, he said, “You're just sitting there; no steering wheel, no pedals. For me, it was very relaxing. About ten seconds after getting into the car, I forgot I was there. I found it really fun.”",473,Ele,1_1_2,84.57,4.5,7.66,6.95,9.2,7.21,6.2,6.214285714285714,10,114,85,7,389,368,8,64,116.5,111.14,48.95,1.5,0.4712643678160919,0.4606741573033708,5,2.4285714285714284,4.9799469443331645,6.041532014735646,3.740384615384616,0.642621557,320.18529411764706,3.6267071867252096,10.06030247762721,4.329411764705882
0.11272,0.20735,0.0958673315274981,9.660545138636362,1_1_Ele_3,"Google says that the aim of the project is to improve safety. They say that the car is made with foam at the front and a plastic windscreen, so “it should be far safer than any other car for pedestrians.” The cars have been built specially by a company in Detroit. Google will now test the cars, which are not yet for sale.",323,Ele,1_1_3,89.28,4.7,7.59,5.74,8.1,6.93,5.9,7.625,5,75,63,4,261,253,3,54,118.72,116.92,50.73,1.1,0.4285714285714285,0.365079365079365,3,2.0,5.825663188175648,6.527667263181122,3.7285714285714286,0.600219993,309.0953642384106,3.647743097697662,9.799721727032308,4.00794701986755
