text_id,align_idx,diff_CAREC,diff_CAREC_M,diff_CARES,diff_CML2RI,diff_flesch_reading_ease,diff_flesch_kincaid_grade_score,diff_gunning_fog_index,diff_coleman_liau_index,diff_smog_index,diff_dale_chall_score,diff_ARI,diff_linsear_formula,diff_difficult_words_count,diff_syllable_count,diff_lexicon_count,diff_sentence_count,diff_char_count,diff_letter_count,diff_polysyllabcount,diff_monosyllabcount,diff_fernansex_huerta,diff_szigriszt_pazos,diff_gutierrez_polini,diff_crawford,diff_cpidr_density,diff_depid_density,diff_max_embedding_depth,diff_avg_embedding_depth,diff_mean_entropy,diff_mean_entropy_sents,diff_word_length,diff_wordFreq_frequency,diff_gpt2_surprisal,diff_Wordfreq_Frequency,diff_Length,diff_TF,diff_CML2RI_(-),diff_flesch_reading_ease_(-),diff_lexicon_count_(-),diff_monosyllabcount_(-),diff_fernansex_huerta_(-),diff_szigriszt_pazos_(-),diff_gutierrez_polini_(-),diff_wordFreq_frequency_(-),CAREC_Adv,CAREC_M_Adv,CARES_Adv,CML2RI_Adv,flesch_reading_ease_Adv,flesch_kincaid_grade_score_Adv,gunning_fog_index_Adv,coleman_liau_index_Adv,smog_index_Adv,dale_chall_score_Adv,ARI_Adv,linsear_formula_Adv,difficult_words_count_Adv,syllable_count_Adv,lexicon_count_Adv,sentence_count_Adv,char_count_Adv,letter_count_Adv,polysyllabcount_Adv,monosyllabcount_Adv,fernansex_huerta_Adv,szigriszt_pazos_Adv,gutierrez_polini_Adv,crawford_Adv,cpidr_density_Adv,depid_density_Adv,max_embedding_depth_Adv,avg_embedding_depth_Adv,mean_entropy_Adv,mean_entropy_sents_Adv,word_length_Adv,wordFreq_frequency_Adv,gpt2_surprisal_Adv,Wordfreq_Frequency_Adv,Length_Adv,CAREC_Ele,CAREC_M_Ele,CARES_Ele,CML2RI_Ele,flesch_reading_ease_Ele,flesch_kincaid_grade_score_Ele,gunning_fog_index_Ele,coleman_liau_index_Ele,smog_index_Ele,dale_chall_score_Ele,ARI_Ele,linsear_formula_Ele,difficult_words_count_Ele,syllable_count_Ele,lexicon_count_Ele,sentence_count_Ele,char_count_Ele,letter_count_Ele,polysyllabcount_Ele,monosyllabcount_Ele,fernansex_huerta_Ele,szigriszt_pazos_Ele,gutierrez_polini_Ele,crawford_Ele,cpidr_density_Ele,depid_density_Ele,max_embedding_depth_Ele,avg_embedding_depth_Ele,mean_entropy_Ele,mean_entropy_sents_Ele,word_length_Ele,wordFreq_frequency_Ele,gpt2_surprisal_Ele,Wordfreq_Frequency_Ele,Length_Ele
1_10_1,0,-0.024239999999999984,-0.035140000000000005,0.025544022333948,-6.562348466578946,-27.4,10.499999999999998,10.64,2.360000000000001,-9.7,2.08,13.799999999999999,17.166666666666668,3.0,8.0,5.0,-2.0,26.0,26.0,0.0,2.0,-27.540000000000006,-28.200000000000003,-10.370000000000005,1.4,0.06341463414634146,0.05156794425087102,0.0,0.666666666666667,0.46133679488893176,0.0289887443458392,0.13341493268053917,0.06508580000000003,0.5182436147400571,-0.12494310612107107,0.1519130031165048,119.037945096479,6.562348466578946,27.4,-5.0,-2.0,27.540000000000006,28.200000000000003,10.370000000000005,-0.06508580000000003,0.18773,0.31865,-0.0023050084924835,-1.6497730350000095,41.37,16.9,16.25,9.88,0.0,10.09,19.9,23.0,7,56,38,1,180,174,4,25,78.08,77.02,37.48,3.3,0.4634146341463415,0.3658536585365853,3,3.0,6.300033964985188,6.300033964985188,4.186046511627907,0.4300238777,5.246980869024916,10.652085228201132,4.636761487964989,0.21197,0.35379,-0.0278490308264315,4.9125754315789365,68.77,6.4,5.61,7.52,9.7,8.01,6.1,5.833333333333333,4,48,33,3,154,148,4,23,105.62,105.22,47.85,1.9,0.4,0.3142857142857143,3,2.333333333333333,5.838697170096256,6.2710452206393485,4.052631578947368,0.3649380777,4.728737254284859,10.777028334322203,4.484848484848484
1_10_1,1,0.15737,0.15336999999999998,0.0697879643652245,-4.383084977622374,-8.46,1.1999999999999993,2.0999999999999996,3.709999999999999,0.0,3.33,3.0,1.0,3.0,2.0,0.0,0.0,12.0,12.0,1.0,-1.0,-6.0,-6.549999999999997,-6.130000000000003,0.5,0.0,0.0,0.0,0.0,0.14296448328708777,0.14296448328708777,0.5714285714285712,-0.11999856,0.9232415304698978,2.037552359011917,0.6647345235335038,171.21466110209445,4.383084977622374,8.46,-0.0,1.0,6.0,6.549999999999997,6.130000000000003,0.11999856,0.18483,0.35883,0.0874615231973993,-6.464553223076926,60.65,9.5,11.81,14.79,0.0,12.06,14.6,11.5,5,29,19,1,107,105,2,11,97.46,92.75,34.94,3.0,0.5789473684210527,0.5789473684210527,3,3.0,5.094149398906088,5.094149398906088,5.095238095238095,0.114362891,4.5881067327924265,12.457921526714122,5.559471365638767,0.02746,0.20546,0.0176735588321748,-2.081468245454552,69.11,8.3,9.71,11.08,0.0,8.73,11.6,10.5,2,27,19,1,95,93,1,12,103.46,99.3,41.07,2.5,0.5789473684210527,0.5789473684210527,3,3.0,4.951184915619001,4.951184915619001,4.523809523809524,0.234361451,3.6648652023225288,10.420369167702205,4.894736842105263
1_10_1,2,0.0067899999999999905,-0.009209999999999996,0.0322901872137545,3.8391778426666643,-9.809999999999995,5.9,6.329999999999998,-1.9000000000000004,0.0,-0.7799999999999994,7.0,10.0,1.0,20.0,18.0,0.0,71.0,69.0,0.0,17.0,-12.36,-10.239999999999995,-2.1399999999999935,-0.19999999999999973,-0.05860805860805862,-0.13186813186813195,2.0,2.0,-0.3820843672121095,-0.3820843672121095,-0.4115267947421639,0.15303,-0.8548492445368758,0.031075784185095046,-0.6682184075259432,120.25455015679046,-3.8391778426666643,9.809999999999995,-18.0,-17.0,12.36,10.239999999999995,2.1399999999999935,-0.15303,-0.08017,0.07383,0.0442134753238347,3.716661556000005,57.27,15.0,16.63,8.43,0.0,8.41,19.0,21.5,3,49,39,1,173,169,1,31,89.06,89.56,39.52,2.2,0.5128205128205128,0.4871794871794871,4,4.0,6.261654544482403,6.261654544482403,4.023255813953488,0.273441,4.425464521891526,11.977310196010896,4.093686354378819,-0.08696,0.08304,0.0119232881100802,-0.1225162866666593,67.08,9.1,10.3,10.33,0.0,9.19,12.0,11.5,2,29,21,1,102,100,1,14,101.42,99.8,41.66,2.4,0.5714285714285714,0.6190476190476191,2,2.0,6.643738911694513,6.643738911694513,4.434782608695652,0.120411,5.280313766428402,11.9462344118258,4.761904761904762
1_10_2,3,0.05129,0.06995000000000001,-0.0011875571990196954,-3.6407161933333327,-5.409999999999997,0.09999999999999964,1.6899999999999995,5.16,0.0,-0.21000000000000085,3.5999999999999996,-1.5,-1.0,-2.0,-3.0,0.0,5.0,3.0,1.0,-2.0,-2.9399999999999977,-5.189999999999998,-8.04,0.5,0.026315789473684292,0.026315789473684292,0.0,0.0,0.1738564692289737,0.1738564692289737,0.46578947368421053,-0.0725605200000001,0.29477246537020374,0.7440265900618055,0.9375,-23.894188596491233,3.6407161933333327,5.409999999999997,3.0,2.0,2.9399999999999977,5.189999999999998,8.04,0.0725605200000001,0.17985,0.35985,-0.033053267535479,-0.0560780100000073,63.7,8.4,11.4,11.08,0.0,9.36,10.7,9.0,3,24,16,1,82,79,2,11,100.52,97.39,41.71,2.7,0.5,0.5,2,2.0,6.909876027139943,6.909876027139943,4.315789473684211,0.1513370799999999,4.9085840210318565,10.697395114434064,4.9375,0.12856,0.2899,-0.0318657103364593,3.5846381833333254,69.11,8.3,9.71,5.92,0.0,9.57,7.1,10.5,4,26,19,1,77,76,1,13,103.46,102.58,49.75,2.2,0.4736842105263157,0.4736842105263157,2,2.0,6.73601955791097,6.73601955791097,3.85,0.2238976,4.613811555661653,9.953368524372259,4.0
1_10_2,4,0.009239999999999998,0.006900000000000017,0.0684320335023631,-1.6331770661654303,-16.239999999999995,6.3,7.619999999999999,2.4699999999999998,0.0,1.0199999999999996,8.5,11.5,0.0,5.0,3.0,-1.0,17.0,18.0,2.0,3.0,-16.319999999999993,-18.560000000000002,-7.260000000000005,1.0999999999999999,-0.041474654377880116,-0.012672811059907918,0.0,0.0,0.10268250217969754,-0.084062179492574,0.28809788654060053,0.0204971000000001,0.1726222256796346,0.17129552770731848,0.17108753315649938,-54.442749778956625,1.6331770661654303,16.239999999999995,-3.0,-3.0,16.319999999999993,18.560000000000002,7.260000000000005,-0.0204971000000001,0.04734,0.18795,-0.0289791871145029,6.457304728571415,67.42,11.1,14.36,9.53,0.0,8.34,14.8,17.5,3,38,29,1,134,131,3,23,99.26,96.2,41.23,2.3,0.3870967741935484,0.4516129032258064,2,2.0,6.037536557528907,6.037536557528907,4.32258064516129,0.2053625,4.317347157104262,10.58357978307717,4.517241379310345,0.0381,0.18105,-0.097411220616866,8.090481794736846,83.66,4.8,6.74,7.06,0.0,7.32,6.3,6.0,3,33,26,2,117,113,1,20,115.58,114.76,48.49,1.2,0.4285714285714285,0.4642857142857143,2,2.0,5.934854055349209,6.121598737021481,4.0344827586206895,0.1848653999999999,4.144724931424627,10.412284255369851,4.346153846153846
1_10_2,5,-0.053970000000000004,-0.03444,-0.05555990594418689,1.0307344487179364,-3.719999999999999,3.499999999999999,4.800000000000001,0.08000000000000007,0.0,0.2900000000000009,5.4,7.0,-1.0,-4.0,-2.0,-1.0,-12.0,-12.0,0.0,0.0,-6.240000000000009,-8.409999999999997,-2.9199999999999946,0.30000000000000004,0.032967032967033016,0.15109890109890112,0.0,0.5,-0.13006856515898768,-0.8983802397725897,-0.14025974025974008,-0.03396580000000002,0.19724251670061843,0.08100586913213981,-0.1318681318681314,-46.78250915750914,-1.0307344487179364,3.719999999999999,2.0,-0.0,6.240000000000009,8.409999999999997,2.9199999999999946,0.03396580000000002,-0.04016,0.12584,-0.1838401072197558,7.226657215384606,78.93,8.7,10.4,7.09,0.0,8.57,12.4,13.0,1,31,26,1,115,108,0,21,108.32,106.55,45.81,1.6,0.4615384615384615,0.6153846153846154,3,3.0,5.817278458488674,5.817278458488674,3.5454545454545454,0.14485478,4.509091526395283,11.600022975588193,4.153846153846154,0.01381,0.16028,-0.1282802012755689,6.195922766666669,82.65,5.2,5.6,7.01,0.0,8.28,7.0,6.0,2,35,28,2,127,120,0,21,114.56,114.96,48.73,1.3,0.4285714285714285,0.4642857142857143,3,2.5,5.947347023647661,6.715658698261263,3.6857142857142855,0.17882058,4.311849009694664,11.519017106456053,4.285714285714286
1_10_2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14983785333779975,-0.005578151392093389,0.003100775193797922,-70.91823858742464,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.01788,0.19188,-0.1346062808575245,6.779419650000001,78.59,6.8,7.2,7.54,0.0,6.28,9.6,8.0,0,23,18,1,84,78,0,13,110.48,109.23,46.87,1.7,0.6842105263157895,0.5263157894736842,3,3.0,5.8273170827149725,5.8273170827149725,3.583333333333333,0.12612512,3.5044026071134593,10.067476037335696,4.333333333333333,0.01788,0.19188,-0.1346062808575245,6.779419650000001,78.59,6.8,7.2,7.54,0.0,6.28,9.6,8.0,0,23,18,1,84,78,0,13,110.48,109.23,46.87,1.7,0.6842105263157895,0.5263157894736842,3,3.0,5.8273170827149725,5.8273170827149725,3.583333333333333,0.12612512,3.654240460451259,10.07305418872779,4.330232558139535
1_10_3,7,-0.07928,-0.08818000000000001,0.0482838438212444,-10.609795174524407,-51.459999999999994,19.8,20.5,2.6899999999999995,-8.8,3.1900000000000004,26.099999999999998,29.333333333333336,5.0,25.0,16.0,-2.0,80.0,81.0,1.0,8.0,-51.71,-54.970000000000006,-19.72,1.1999999999999997,-0.00724637681159418,-0.026755852842809402,1.0,2.0,0.046985255125847836,-0.6699083074108447,0.30666666666666664,-0.04963797699999989,0.2979194446981239,0.30373608566067745,0.18377122261215995,169.53879153624837,10.609795174524407,51.459999999999994,-16.0,-8.0,51.71,54.970000000000006,19.72,0.04963797699999989,0.02423,0.13998,0.0957350231769923,3.493033351282037,27.84,26.3,28.96,9.42,0.0,10.72,33.8,38.0,8,91,68,1,306,299,4,49,59.48,55.46,28.75,2.8,0.4927536231884058,0.4347826086956521,4,4.0,6.055395577237674,6.055395577237674,4.1066666666666665,0.394641253,4.8845816351629505,10.733927204172028,4.3760789149198525,0.10351,0.22816,0.0474511793557479,14.102828525806444,79.3,6.5,8.46,6.73,8.8,7.53,7.7,8.666666666666666,3,66,52,3,226,218,3,41,111.19,110.43,48.47,1.6,0.5,0.4615384615384615,3,2.0,6.008410322111827,6.725303884648519,3.8,0.4442792299999999,4.586662190464827,10.43019111851135,4.1923076923076925
1_10_3,8,-0.0537,-0.08539000000000002,0.11586445017210259,-6.4889995985754965,-29.78,9.299999999999999,9.379999999999999,3.5599999999999996,0.0,3.3099999999999996,12.4,11.0,6.0,33.0,21.0,0.0,104.0,104.0,1.0,10.0,-27.42,-31.25999999999999,-11.840000000000003,1.3,0.05238095238095236,0.057142857142857106,2.0,2.0,0.004735140043195862,0.004735140043195862,0.6796536796536796,0.189361901,1.2046488864182616,-0.38895404561203506,0.6326530612244894,144.31303854875284,6.4889995985754965,29.78,-21.0,-10.0,27.42,31.25999999999999,11.840000000000003,-0.189361901,0.06429,0.2066,0.0583227288540328,1.869665262962961,46.78,16.9,17.38,9.77,0.0,9.52,20.5,22.5,8,58,41,1,187,185,2,26,81.02,77.7,37.08,3.0,0.4523809523809524,0.3571428571428571,4,4.0,6.241992217356588,6.241992217356588,4.4523809523809526,0.314999201,4.675085899385871,10.708941525189573,4.489795918367347,0.11799,0.29199,-0.0575417213180698,8.358664861538458,76.56,7.6,8.0,6.21,0.0,6.21,8.1,11.5,2,25,20,1,83,81,1,16,108.44,108.96,48.92,1.7,0.4,0.3,2,2.0,6.237257077313392,6.237257077313392,3.772727272727273,0.1256373,3.470437012967609,11.097895570801608,3.857142857142857
1_10_4,9,0.25128,0.24971,0.24281480660998728,-4.469325679166666,-24.700000000000003,7.500000000000002,9.02,4.02,0.0,2.030000000000001,10.5,13.0,5.0,28.0,16.0,0.0,94.0,93.0,5.0,10.0,-22.320000000000007,-23.33,-10.830000000000005,1.1,0.1111111111111111,0.08169934640522869,1.0,1.0,0.4228341325932421,0.4228341325932421,0.4985380116959064,0.0923432009999999,-0.03518383847275608,0.32807733559302577,0.5392156862745097,106.53213507625276,4.469325679166666,24.700000000000003,-16.0,-10.0,22.320000000000007,23.33,10.830000000000005,-0.0923432009999999,0.07702,0.22268,0.181934533594809,-0.7176414791666659,36.97,16.6,20.66,13.53,0.0,11.82,20.3,24.0,9,55,34,1,179,177,7,22,76.16,72.06,32.8,3.9,0.5,0.4705882352941176,6,6.0,6.211355640929114,6.211355640929114,4.972222222222222,0.2220821899999999,4.9716605482184715,11.008279463808814,5.205882352941177,-0.17426,-0.02703,-0.0608802730151783,3.7516842,61.67,9.1,11.64,9.51,0.0,9.79,9.8,11.0,4,27,18,1,85,84,2,12,98.48,95.39,43.63,2.8,0.3888888888888889,0.3888888888888889,5,5.0,5.788521508335872,5.788521508335872,4.473684210526316,0.129738989,5.0068443866912276,10.680202128215788,4.666666666666667
