text_id,diff_CAREC,diff_CAREC_M,diff_CARES,diff_CML2RI,diff_length,diff_flesch_reading_ease,diff_flesch_kincaid_grade_score,diff_gunning_fog_index,diff_coleman_liau_index,diff_smog_index,diff_dale_chall_score,diff_ARI,diff_linsear_formula,diff_difficult_words_count,diff_syllable_count,diff_lexicon_count,diff_sentence_count,diff_char_count,diff_letter_count,diff_polysyllabcount,diff_monosyllabcount,diff_fernansex_huerta,diff_szigriszt_pazos,diff_gutierrez_polini,diff_crawford,diff_cpidr_density,diff_depid_density,diff_max_embedding_depth,diff_avg_embedding_depth,diff_mean_entropy,diff_mean_entropy_sents,diff_word_length,diff_wordFreq_frequency,diff_gpt2_surprisal,diff_Wordfreq_Frequency,diff_Length,diff_TF,diff_CML2RI_(-),diff_flesch_reading_ease_(-),diff_lexicon_count_(-),diff_monosyllabcount_(-),diff_fernansex_huerta_(-),diff_szigriszt_pazos_(-),diff_gutierrez_polini_(-),diff_wordFreq_frequency_(-)
1_10_1,-0.0063499999999999945,-0.03138000000000002,0.07430403945659089,-5.37488898129919,135.0,-17.97,6.9,7.09,0.8999999999999986,1.799999999999999,1.1600000000000001,8.600000000000001,11.0,7.0,30.0,24.0,-2.0,109.0,107.0,0.0,19.0,-18.060000000000002,-15.040000000000006,-5.700000000000003,0.5,0.011717171717171793,-0.0121212121212122,1.0,0.6000000000000001,0.3851556439698438,-0.19741755872257816,-0.021228545618788175,0.09827494000000003,0.16589129041602746,0.5341861011800582,-0.08314777032934995,128.2917196152725,5.37488898129919,17.97,-24.0,-19.0,18.060000000000002,15.040000000000006,5.700000000000003,-0.09827494000000003
1_10_2,0.02173,0.025260000000000005,0.015370383959298711,3.8565729362653265,8.0,-7.210000000000008,2.7,3.7600000000000007,2.05,3.0999999999999996,0.41999999999999904,4.5,5.458333333333333,-2.0,-1.0,-2.0,-2.0,10.0,9.0,3.0,1.0,-7.25,-8.179999999999993,-4.390000000000001,0.6000000000000001,-0.0002312673450508007,0.03214616096207218,0.0,0.16666666666666696,-0.09968997830391757,-0.1653920036489005,0.12850467289719614,-0.08602922000000002,0.11766885375799063,0.20622574144566563,0.19737587410786972,-48.87839902230371,-3.8565729362653265,7.210000000000008,2.0,-1.0,7.25,8.179999999999993,4.390000000000001,0.08602922000000002
1_10_3,0.031100000000000017,-0.0006200000000000094,0.1306343456402518,-10.662941718939384,220.0,-45.510000000000005,15.399999999999999,14.959999999999999,2.869999999999999,-8.8,2.9499999999999993,19.3,17.875,11.0,58.0,37.0,-2.0,184.0,185.0,2.0,18.0,-43.230000000000004,-42.92,-15.57,1.2999999999999998,0.005255255255255276,-0.011261261261261313,1.0,2.0,0.217378783574107,-0.46067107177788547,0.4351851851851851,0.139723924,0.540122235024378,0.1022462824721444,0.32301812093963544,157.61811953572766,10.662941718939384,45.510000000000005,-37.0,-18.0,43.230000000000004,42.92,15.57,-0.139723924
1_10_4,0.05058,0.025400000000000006,0.15592609624365028,-4.846297675153892,200.0,-19.630000000000003,5.499999999999999,5.1899999999999995,1.4000000000000004,2.6999999999999993,1.58,5.9,7.607142857142858,9.0,52.0,33.0,-2.0,167.0,167.0,5.0,22.0,-17.22,-14.11,-5.18,0.8,0.0029940119760478723,0.0031094527363184077,1.0,0.08333333333333304,0.1743975534720965,-0.17551690028105416,0.21076097888032175,0.198486893,0.2525663169337795,0.02827100829401985,0.11686499700198372,78.54895991882296,4.846297675153892,19.630000000000003,-33.0,-22.0,17.22,14.11,5.18,-0.198486893
1_10_5,0.06079999999999999,0.03498999999999999,0.1526067296208214,-7.325355260416677,188.0,-12.380000000000003,4.699999999999999,5.18,1.3500000000000014,3.0999999999999996,1.5599999999999987,6.399999999999999,5.050000000000001,8.0,49.0,31.0,-1.0,157.0,154.0,5.0,22.0,-12.450000000000003,-14.200000000000003,-5.119999999999997,0.6000000000000001,0.02645148968678379,-0.013636363636363613,2.0,1.1,0.19315195623359394,0.040449675507604255,0.1973981900452486,0.25850276067800004,0.06221386307609045,0.15410792254302308,0.0823817998813503,180.43659421014394,7.325355260416677,12.380000000000003,-31.0,-22.0,12.450000000000003,14.200000000000003,5.119999999999997,-0.25850276067800004
1_10_6,0.04321000000000001,0.01422000000000001,0.10699326116049757,-5.12828441781596,226.0,-3.5500000000000114,1.3999999999999995,1.5099999999999998,0.47000000000000064,0.6999999999999993,-0.10999999999999943,1.8999999999999986,1.200000000000001,8.0,52.0,39.0,1.0,188.0,182.0,3.0,30.0,-3.5700000000000074,-3.25,-1.4799999999999969,0.20000000000000018,0.010972612359550604,0.0334445224719101,2.0,0.4333333333333331,0.06430182469569168,-0.21274938614505068,0.0215822618735233,0.2834387629,-0.02369478006557557,-0.8117927714831854,0.07712505412263226,-84.89643770273312,5.12828441781596,3.5500000000000114,-39.0,-30.0,3.5700000000000074,3.25,1.4799999999999969,-0.2834387629
1_10_7,0.05828999999999998,0.028980000000000034,0.12022299210415047,0.5925992248833456,153.0,-13.189999999999998,5.0,6.030000000000001,-0.04999999999999982,2.6999999999999993,0.4299999999999997,5.799999999999999,3.3499999999999996,4.0,40.0,31.0,-1.0,122.0,121.0,4.0,25.0,-13.260000000000005,-12.709999999999994,-3.539999999999999,0.3999999999999999,0.028151260504201747,-0.010294117647058842,0.0,0.6499999999999999,-0.010393770815619874,-0.2182642072698755,0.005808917197452246,0.25553274000000004,0.01819430198649652,-0.09904539773331855,-0.09664704833244198,-111.23277946218022,-0.5925992248833456,13.189999999999998,-31.0,-25.0,13.260000000000005,12.709999999999994,3.539999999999999,-0.25553274000000004
1_1_1,0.033659999999999995,0.03377999999999998,0.03660411350163989,-3.170472096661536,84.0,-15.759999999999998,4.0,4.48,2.33,3.0,0.9000000000000004,5.199999999999999,3.5999999999999996,10.0,24.0,8.0,-1.0,76.0,74.0,5.0,-3.0,-13.340000000000003,-14.519999999999996,-5.850000000000001,0.8000000000000003,0.02429149797570851,0.008434547908232115,1.0,1.0499999999999998,0.3862373234599872,0.4139016935079667,0.31441379310344875,0.0183660041,0.4843752892198405,0.47267725457285437,0.3443275004997348,6.730330495318071,3.170472096661536,15.759999999999998,-8.0,3.0,13.340000000000003,14.519999999999996,5.850000000000001,-0.0183660041
1_1_2,0.19583,0.18091000000000002,0.194072930921592,-10.420078269395523,185.0,-12.409999999999997,2.7,3.0299999999999994,2.2700000000000005,2.0,1.3099999999999996,3.3999999999999995,1.6428571428571432,10.0,48.0,27.0,0.0,157.0,149.0,6.0,16.0,-9.980000000000004,-10.420000000000002,-4.130000000000003,0.8999999999999999,-0.00635208711433749,-0.029639674544750194,0.0,0.5714285714285716,0.12066653308629327,-0.023526952121889266,0.21613712374581873,0.36183775399999996,0.3263460524720547,0.4989914890248155,0.24580947423217125,-41.61597258372376,10.420078269395523,12.409999999999997,-27.0,-16.0,9.980000000000004,10.420000000000002,4.130000000000003,-0.36183775399999996
1_1_3,-0.020269999999999996,-0.044539999999999996,0.1461367131795359,1.1747876286713073,162.0,-21.560000000000002,6.2,7.15,3.67,4.4,1.620000000000001,8.9,9.375,9.0,41.0,23.0,-1.0,139.0,134.0,5.0,12.0,-19.150000000000006,-22.78,-9.209999999999994,1.4,0.0656814449917899,0.060207991242474,0.0,0.0,-0.1959112766758464,-0.28777511405269607,0.35306122448979593,0.145719131,0.38908035155697585,0.3771256092466846,0.46430224985007396,89.63004958826906,-1.1747876286713073,21.560000000000002,-23.0,-12.0,19.150000000000006,22.78,9.209999999999994,-0.145719131
1_1_4,0.04531,0.020340000000000025,0.13371903243765562,-12.915834138943916,177.0,-9.279999999999994,1.5,2.130000000000001,2.3200000000000003,2.9000000000000004,-0.019999999999999574,2.0,1.958333333333334,7.0,48.0,25.0,1.0,152.0,149.0,8.0,15.0,-6.820000000000007,-10.019999999999996,-3.7099999999999937,0.8000000000000003,-0.0011114639568116091,0.0030959752321981227,1.0,1.25,-0.4028851450252242,-0.13364604192255403,0.4062162162162162,0.23960145000000005,-0.007023640966631994,-0.07337664952516043,0.3456813463389734,69.65635416787484,12.915834138943916,9.279999999999994,-25.0,-15.0,6.820000000000007,10.019999999999996,3.7099999999999937,-0.23960145000000005
1_1_5,-0.08459000000000001,-0.08949000000000001,0.1157309907463237,-7.717473647142878,114.0,-0.8199999999999932,0.3000000000000007,1.3000000000000007,-1.209999999999999,1.8999999999999986,-0.5500000000000007,-0.3000000000000007,2.125,4.0,29.0,21.0,1.0,93.0,82.0,4.0,18.0,-0.8200000000000074,-0.28000000000000114,2.259999999999998,0.0,-0.004873294346978585,0.01924001924001928,2.0,0.8666666666666671,-0.07008542328614631,-0.2953672039656299,-0.49224806201550386,0.3396328800000001,0.056214039252346915,-0.9580017516923416,-0.14736451373422366,83.03247271027527,7.717473647142878,0.8199999999999932,-21.0,-18.0,0.8200000000000074,0.28000000000000114,-2.259999999999998,-0.3396328800000001
1_1_6,0.05434999999999998,0.018070000000000003,0.16970476362204429,-5.804434842655127,293.0,-12.82,2.8000000000000007,2.789999999999999,1.5099999999999998,1.6999999999999993,1.2300000000000004,3.8000000000000007,0.25,12.0,68.0,43.0,1.0,249.0,227.0,7.0,28.0,-10.39,-7.75,-3.6199999999999974,0.40000000000000036,0.11137662337662341,0.0918635170603675,-1.0,-0.16666666666666652,-0.35702633006133055,-0.7622799885957452,-0.05782096208983756,0.32576323288,0.4034051990998284,0.5892595402884577,0.17559324572241586,-20.444146916769625,5.804434842655127,12.82,-43.0,-28.0,10.39,7.75,3.6199999999999974,-0.32576323288
1_1_7,0.05318,0.007179999999999999,0.163873950087099,1.3566365526531108,246.0,0.4000000000000057,-0.09999999999999964,0.07000000000000028,-1.0500000000000007,0.5,-0.41999999999999993,-1.0,0.0,4.0,65.0,48.0,3.0,198.0,192.0,6.0,40.0,0.4000000000000057,0.8499999999999943,1.8599999999999994,0.0,-0.0407407407407408,-0.0020283975659228792,0.0,-0.3999999999999999,0.0530955386370362,0.16086857405184674,-0.13340206185566972,0.3500573589999999,0.2718051205938128,-0.11965720794228751,-0.17297493116939577,57.23272351833066,-1.3566365526531108,-0.4000000000000057,-48.0,-40.0,-0.4000000000000057,-0.8499999999999943,-1.8599999999999994,-0.3500573589999999
1_2_1,0.06924,0.05215,0.18893623522728992,-0.7134233129131191,184.0,-16.03,6.199999999999999,8.170000000000002,0.4900000000000002,4.699999999999999,1.8000000000000007,7.5,5.0,11.0,51.0,30.0,-2.0,154.0,153.0,8.0,19.0,-16.120000000000005,-17.700000000000003,-4.8700000000000045,0.6999999999999997,-0.016153846153846185,0.013076923076923097,1.0,1.5,-0.16371157484585996,-0.6131992634231453,0.023109497882638053,0.33807592,-0.1554389257062998,0.08760450474611758,-0.07774480712166199,117.56501978239368,0.7134233129131191,16.03,-30.0,-19.0,16.120000000000005,17.700000000000003,4.8700000000000045,-0.33807592
1_2_2,0.08221999999999999,0.08422000000000002,0.06547296834975541,-2.8043050751602436,17.0,-11.310000000000002,2.3000000000000007,2.4399999999999995,1.4000000000000004,1.0,1.0600000000000005,2.3000000000000007,3.0238095238095237,5.0,4.0,-1.0,-1.0,18.0,18.0,1.0,0.0,-8.86,-5.6000000000000085,-2.780000000000001,0.3999999999999999,-0.011555555555555541,-0.0043174603174602755,1.0,0.6190476190476186,-0.25055432143109524,-0.33343154716996803,0.16555590817729815,0.03704569999999996,-0.014527528218515329,0.32349362464313636,0.147308181693381,114.43607722931733,2.8043050751602436,11.310000000000002,1.0,-0.0,8.86,5.6000000000000085,2.780000000000001,-0.03704569999999996
1_2_3,0.12075999999999999,0.08016999999999999,0.30236668840700254,-13.23036698720422,346.0,-15.869999999999997,3.999999999999999,5.210000000000001,0.8800000000000008,2.8000000000000007,1.8900000000000006,4.1,3.375,23.0,91.0,57.0,1.0,289.0,284.0,8.0,34.0,-13.439999999999998,-13.799999999999997,-3.489999999999995,0.7999999999999998,-0.033011272141706904,-0.06334444639410419,2.0,0.8499999999999996,-0.07962505282808152,-0.8882020598477283,0.0854545454545459,0.7903306720000001,0.008367188392662595,0.14687187074588337,0.09840951359804073,-117.71537393533998,13.23036698720422,15.869999999999997,-57.0,-34.0,13.439999999999998,13.799999999999997,3.489999999999995,-0.7903306720000001
1_2_4,0.08431999999999998,0.059870000000000034,0.15701258452231032,-6.64238692711216,286.0,-8.019999999999996,3.1000000000000005,4.360000000000001,2.4499999999999993,2.4000000000000004,1.209999999999999,5.1000000000000005,1.875,11.0,68.0,43.0,-1.0,243.0,240.0,6.0,27.0,-8.060000000000002,-11.519999999999996,-5.439999999999998,0.9000000000000001,0.06650815666072257,0.0482812909997376,7.0,1.3928571428571428,-0.0038742239894826724,-0.4302836567391157,0.3636363636363642,0.39003184599999996,0.1557852100462127,0.2773615374101066,0.27610525068152203,-114.47163288688711,6.64238692711216,8.019999999999996,-43.0,-27.0,8.060000000000002,11.519999999999996,5.439999999999998,-0.39003184599999996
1_2_5,0.09133,0.05511000000000002,0.22544858094381698,-7.135386910349814,228.0,-19.15,3.3000000000000007,3.34,2.789999999999999,3.4000000000000004,1.3899999999999988,3.1000000000000014,1.2249999999999996,15.0,63.0,32.0,1.0,196.0,192.0,12.0,16.0,-14.240000000000009,-11.940000000000012,-4.920000000000002,0.8999999999999999,0.0431034482758621,0.04885057471264359,0.0,0.0,0.03572086106289607,-0.07356295844050731,0.3793780687397712,0.11176582400000001,0.15943523112046432,0.43912467286405743,0.4314121559430726,-74.59774317373689,7.135386910349814,19.15,-32.0,-16.0,14.240000000000009,11.940000000000012,4.920000000000002,-0.11176582400000001
