align_idx,unique_paragraph_id,mean_surprisal_gpt2,avg_mean_surprisal_gpt2,mean_surprisal_pythia,avg_mean_surprisal_pythia,SBERT,lexile,text_evaluator,o3-mini_simple_prompt,o3-mini_clear_prompt,o3-mini_clear_specific_prompt,llama-3.3-70b-versatile_simple_prompt,gemini-2.0-flash_simple_prompt,gpt-4o_simple_prompt,claude-sonnet-4-0_simple_prompt,gpt-5_simple_prompt,gemini-2.5-pro_simple_prompt,llama-3.3-70b-versatile_simple_specific_prompt,gemini-2.0-flash_simple_specific_prompt,gpt-4o_simple_specific_prompt,claude-sonnet-4-0_simple_specific_prompt,gpt-5_simple_specific_prompt,gemini-2.5-pro_simple_specific_prompt,llama-3.3-70b-versatile_clear_prompt,gemini-2.0-flash_clear_prompt,claude-sonnet-4-0_clear_prompt,gpt-5_clear_prompt,gpt-4o_clear_prompt,gemini-2.5-pro_clear_prompt,llama-3.3-70b-versatile_clear_specific_prompt,gemini-2.0-flash_clear_specific_prompt,gpt-5_clear_specific_prompt,gpt-4o_clear_specific_prompt,gemini-2.5-pro_clear_specific_prompt,claude-sonnet-4-0_clear_specific_prompt,CAREC,CAREC_M,CARES,CML2RI,flesch_reading_ease,flesch_kincaid_grade_score,gunning_fog_index,coleman_liau_index,smog_index,dale_chall_score,ARI,linsear_formula,difficult_words_count_textstats,syllable_count_textstats,text_length_textstats,sentence_count_textstats,char_count_textstats,letter_count_textstats,polysyllabcount_textstats,monosyllabcount_textstats,fernansex_huerta,szigriszt_pazos,gutierrez_polini,crawford,text_length,text_length_no_punc,sentence_count,cpidr_density,depid_density,word_length,raw_wordFreq_frequency,wordFreq_frequency,mean_entropy_gpt2,avg_mean_entropy_gpt2,mean_entropy_pythia,avg_mean_entropy_pythia,total_slor_gpt2,average_slor_gpt2,total_slor_pythia,average_slor_pythia,total_slor_gpt2_pimentel,average_slor_gpt2_pimentel,total_slor_pythia_pimentel,average_slor_pythia_pimentel,UID_superlin_1.25_gpt2,UID_superlin_1.5_gpt2,UID_superlin_2_gpt2,UID_var_sent_gpt2,UID_var_lang_gpt2,UID_local-var_gpt2,UID_max_gpt2,UID_superlin_1.25_pythia,UID_superlin_1.5_pythia,UID_superlin_2_pythia,UID_var_sent_pythia,UID_var_lang_pythia,UID_local-var_pythia,UID_max_pythia,UID_superlin_1.25_gpt2_pimentel,UID_superlin_1.5_gpt2_pimentel,UID_superlin_2_gpt2_pimentel,UID_var_sent_gpt2_pimentel,UID_var_lang_gpt2_pimentel,UID_local-var_gpt2_pimentel,UID_max_gpt2_pimentel,UID_superlin_1.25_pythia_pimentel,UID_superlin_1.5_pythia_pimentel,UID_superlin_2_pythia_pimentel,UID_var_sent_pythia_pimentel,UID_var_lang_pythia_pimentel,UID_local-var_pythia_pimentel,UID_max_pythia_pimentel,avg_UID_superlin_1.25_gpt2,avg_UID_superlin_1.5_gpt2,avg_UID_superlin_2_gpt2,avg_UID_var_sent_gpt2,avg_UID_var_lang_gpt2,avg_UID_local-var_gpt2,avg_UID_max_gpt2,avg_UID_superlin_1.25_pythia,avg_UID_superlin_1.5_pythia,avg_UID_superlin_2_pythia,avg_UID_var_sent_pythia,avg_UID_var_lang_pythia,avg_UID_local-var_pythia,avg_UID_max_pythia,avg_UID_superlin_1.25_gpt2_pimentel,avg_UID_superlin_1.5_gpt2_pimentel,avg_UID_superlin_2_gpt2_pimentel,avg_UID_var_sent_gpt2_pimentel,avg_UID_var_lang_gpt2_pimentel,avg_UID_local-var_gpt2_pimentel,avg_UID_max_gpt2_pimentel,avg_UID_superlin_1.25_pythia_pimentel,avg_UID_superlin_1.5_pythia_pimentel,avg_UID_superlin_2_pythia_pimentel,avg_UID_var_sent_pythia_pimentel,avg_UID_var_lang_pythia_pimentel,avg_UID_local-var_pythia_pimentel,avg_UID_max_pythia_pimentel,max_embedding_depth_heuristic,avg_embedding_depth_heuristic,text_id,s_idx,sentence,level,max_embedding_depth,avg_embedding_depth
0,1_10_Adv_1,5.153041362762451,5.15304130472635,5.61500358581543,5.615003489350018,-1.53996,1550,950.0,12,20,25,9.0,6.0,11.0,9.0,10.0,8.0,8.0,6.0,9.0,10.0,8.0,10.0,20.0,60.0,25.0,26.0,45.0,25.0,20.0,60.0,22.0,20.0,12.0,25.0,0.18773,0.31865,-0.0023050084924835,-1.6497730350000095,41.37,16.9,16.25,9.88,0.0,10.09,19.9,23.0,7,56,38,1,180,174,4,25,78.08,77.02,37.48,3.3,38,38,1,0.4634146341463415,0.3658536585365853,4.657894736842105,110.30459939473688,10.782841996461794,8.074046947895305,8.074046947895305,8.621155810003218,8.621155810003218,2.2299506757120664,2.2299506757120664,1.654598102014458,1.654598102014458,2.2187241068031622,2.2187241068031622,1.6263921820695193,1.6263921820695193,8.752356981693133,15.130305439121049,49.79100264945404,22.2899369265444,23.362976537159657,32.7294740024286,24.878469705581665,9.954208693979531,17.635616831769127,61.13948511900137,27.27292318580056,27.9922602796174,41.07810413493943,29.1908962726593,8.810409037307139,15.303583699481994,50.82304686627458,23.204107577951262,24.30053189667689,34.76815497097892,25.04092544317245,10.077362268857986,18.03976188918261,64.36697947807099,30.171333357488887,30.93931101792025,48.83938704237693,31.049087285995483,8.752356981693133,15.130305439121049,49.79100264945404,22.2899369265444,23.362976537159657,32.7294740024286,24.878469705581665,9.954208693979531,17.635616831769127,61.13948511900137,27.27292318580056,27.9922602796174,41.07810413493943,29.1908962726593,8.810409037307139,15.303583699481994,50.82304686627458,23.204107577951262,24.30053189667689,34.76815497097892,25.04092544317245,10.077362268857986,18.03976188918261,64.36697947807099,30.171333357488887,30.93931101792025,48.83938704237693,31.049087285995483,3,3.0,1_10_1,1.0,"Agios Efstratios is so remote, so forgotten by the banks, the government and most of the modern world that the mobile phone network can't process data and there isn't a single ATM or credit-card machine on the island.",Adv,2.0,2.0
1,1_10_Adv_1,4.8080034255981445,4.808003499907882,6.5004401206970215,6.500440040701314,-0.44465,1300,670.0,12,25,20,9.0,7.0,8.0,10.0,12.0,10.0,9.0,6.0,8.0,10.0,10.0,10.0,20.0,65.0,25.0,47.0,45.0,25.0,32.0,60.0,24.0,20.0,25.0,25.0,0.18483,0.35883,0.0874615231973993,-6.464553223076926,60.65,9.5,11.81,14.79,0.0,12.06,14.6,11.5,5,29,19,1,107,105,2,11,97.46,92.75,34.94,3.0,19,19,1,0.5789473684210527,0.5789473684210527,5.526315789473684,60.1909952631579,12.389382583252845,5.856972012007119,5.856972012007119,7.761148718626876,7.761148718626876,3.779671562975038,3.779671562975038,2.087165739361305,2.087165739361305,3.770180238613863,3.770180238613863,2.0242471515284466,2.0242471515284466,7.659844977045247,12.409994207237087,33.85193535037421,10.735128628185398,11.094798036298986,20.00865424409107,10.386791229248049,10.923535560751631,18.573063829096984,55.12075752415696,12.864259002004184,15.20252467687668,26.643198893572805,11.884063720703123,7.680604611896386,12.456427606205546,34.07660446523969,10.868439195826111,11.23958304761872,20.42571639947575,10.545268088579178,11.056479444956276,18.850492444508284,56.304995707322846,13.226533892784106,15.761180832587884,28.528439660356096,11.871770554920658,7.659844977045247,12.409994207237087,33.85193535037421,10.735128628185398,11.094798036298986,20.00865424409107,10.386791229248049,10.923535560751631,18.573063829096984,55.12075752415696,12.864259002004184,15.20252467687668,26.643198893572805,11.884063720703123,7.680604611896386,12.456427606205546,34.07660446523969,10.868439195826111,11.23958304761872,20.42571639947575,10.545268088579178,11.056479444956276,18.850492444508284,56.304995707322846,13.226533892784106,15.761180832587884,28.528439660356096,11.871770554920658,3,3.0,1_10_1,2.0,"Before Greece was plunged into financial chaos, residents of this tranquil outpost in the northern Aegean managed quite well.",Adv,3.0,3.0
2,1_10_Adv_1,4.819921493530273,4.819921338763201,5.232769012451172,5.232769111216795,-0.38786,30,530.0,10,30,20,8.0,7.0,8.0,8.0,7.0,8.0,8.0,6.0,8.0,8.0,6.0,8.0,10.0,65.0,15.0,30.0,37.0,28.0,20.0,60.0,24.0,20.0,22.0,15.0,-0.08101,0.07299,0.0442134753238347,3.716661556000005,57.27,15.0,16.63,8.43,0.0,8.41,19.0,21.5,3,49,39,1,173,169,1,31,89.06,89.56,39.52,2.2,41,39,1,0.4871794871794871,0.4615384615384615,4.121951219512195,66.6929268292683,12.051239351434116,6.769304154213609,6.769304154213609,7.306946450253812,7.306946450253812,2.297828398074513,2.297828398074513,1.8849111828677845,1.8849111828677845,2.2781079665937103,2.2781079665937103,1.84807615589169,1.84807615589169,7.546331343020807,11.945489654909531,30.73038048469312,7.498744775283021,7.872861863099264,10.854902899748431,9.798579216003418,8.285020429986089,13.256833306367016,34.842817935489585,7.460225120253785,7.528595305855037,10.336838650098688,11.236658096313477,7.60237269271854,12.078719762148646,31.312678071160946,7.890551633883883,8.289181664968003,11.6915748149592,9.771607376635076,8.38007122214546,13.47693023158442,35.78292284019592,8.013469753025959,8.102459777475548,11.656595154051036,11.403509482741356,7.546331343020807,11.945489654909531,30.73038048469312,7.498744775283021,7.872861863099264,10.854902899748431,9.798579216003418,8.285020429986089,13.256833306367016,34.842817935489585,7.460225120253785,7.528595305855037,10.336838650098688,11.236658096313477,7.60237269271854,12.078719762148646,31.312678071160946,7.890551633883883,8.289181664968003,11.6915748149592,9.771607376635076,8.38007122214546,13.47693023158442,35.78292284019592,8.013469753025959,8.102459777475548,11.656595154051036,11.403509482741356,3,3.0,1_10_1,3.0,"They did their banking at the post office and the few dozen rooms to rent were booked out every summer with people who had heard - by word of mouth - of its spectacular empty beaches, clear seas and fresh seafood.",Adv,2.0,2.0
0,1_10_Ele_1,4.647049903869629,5.066323878187122,5.192604064941406,5.749064629728144,-0.68532,700,430.0,8,10,15,7.0,4.0,4.0,8.0,6.0,4.0,6.0,3.0,5.0,7.0,5.0,4.0,5.0,75.0,15.0,18.0,10.0,5.0,1.0,60.0,8.0,15.0,5.0,15.0,0.21197,0.35379,-0.0278490308264315,4.9125754315789365,68.77,6.4,5.61,7.52,9.7,8.01,6.1,5.833333333333333,4,48,33,3,154,148,4,23,105.62,105.22,47.85,1.9,33,33,3,0.4,0.3142857142857143,4.545454545454546,110.52220536363636,10.777028334322202,7.758697179230777,7.97077483870089,8.857803944385413,9.096368063579906,2.7413438367206835,2.331309783339741,1.910579079452468,1.20811957188549,2.737695858466266,2.321201257461164,1.9051931960548056,1.113274695253663,7.816705866646259,13.427489593776505,43.92557718504412,21.5647562766754,21.83562798496854,46.39010250762089,24.11199563741684,9.707365373039,17.749781958720085,67.37457220986593,36.46666844213115,36.81256148714044,70.34762765298078,33.523274421691895,7.849408304067679,13.522861355798554,44.38289970000719,21.98756492677603,22.262247147952543,47.7624753834393,24.108626902103424,9.777941309528083,17.98949385902772,68.97778893885587,38.00997065810273,38.36222787478302,74.72723971410242,33.859659910202026,9.156043810815978,15.82677191477381,51.69074758603387,19.684536921150727,23.413692407237644,50.51297647388407,14.818232476711271,11.806379101426716,22.008757782066947,85.33826247879612,37.5543516905076,44.5597242182626,89.83087639760892,19.36571602274974,9.197479456146938,15.934059059105996,52.188979229206126,20.07894314913679,23.82684524609864,51.64600820674492,14.881351565631729,12.050527058752117,22.583202379443083,88.2113712691264,39.155518623149085,46.48981676711831,93.54727411920054,19.59375088165204,3,2.333333333333333,1_10_1,1.0,"The Greek island of Agios Efstratios is very remote. It has been forgotten by the banks, the government and most of the modern world. It doesn't have a single ATM or credit-card machine.",Ele,2.0,1.3333333333333333
1,1_10_Ele_1,4.387018203735352,4.387018065703543,5.306421756744385,5.306422233581543,-0.62067,1130,300.0,10,20,10,7.0,6.0,9.0,8.0,10.0,8.0,7.0,4.0,7.0,8.0,9.0,7.0,5.0,70.0,15.0,14.0,5.0,10.0,10.0,60.0,12.0,5.0,3.0,15.0,0.02746,0.20546,0.0176735588321748,-2.081468245454552,69.11,8.3,9.71,11.08,0.0,8.73,11.6,10.5,2,27,19,1,95,93,1,12,103.46,99.3,41.07,2.5,19,19,1,0.5789473684210527,0.5789473684210527,4.894736842105263,123.34813210526316,10.420369167702203,5.946279748735067,5.946279748735067,7.822484110531054,7.822484110531054,2.835835266224333,2.835835266224333,1.916478553976965,1.916478553976965,2.833961315674546,2.833961315674546,1.8720175914443384,1.8720175914443384,6.7942740505327945,10.705729826243942,27.6724876580084,8.426593691809705,8.458543339125901,22.24464696363633,10.069687843322754,8.45097448088598,13.6653070133881,37.12879555486888,8.971222842699373,9.083454512654908,18.49401914104829,11.17923641204834,6.796533068565748,10.710312191517849,27.706399930331816,8.444060356938154,8.476683433188168,22.2201570018636,10.072915012016892,8.531877746998692,13.806465507839189,37.52676607822891,8.895363868440253,9.039362045700594,18.085276741053946,11.16066742874682,6.7942740505327945,10.705729826243942,27.6724876580084,8.426593691809705,8.458543339125901,22.24464696363633,10.069687843322754,8.45097448088598,13.6653070133881,37.12879555486888,8.971222842699373,9.083454512654908,18.49401914104829,11.17923641204834,6.796533068565748,10.710312191517849,27.706399930331816,8.444060356938154,8.476683433188168,22.2201570018636,10.072915012016892,8.531877746998692,13.806465507839189,37.52676607822891,8.895363868440253,9.039362045700594,18.085276741053946,11.16066742874682,3,3.0,1_10_1,4.0,"Before the economic crisis in Greece, the people of this peaceful island in the northern Aegean lived quite well.",Ele,3.0,3.0
2,1_10_Ele_1,5.675656795501709,5.675656940255847,5.959307193756104,5.9593074435279485,-0.00211,20,80.0,9,10,10,6.0,6.0,5.0,8.0,8.0,4.0,6.0,6.0,5.0,8.0,6.0,5.0,5.0,65.0,15.0,30.0,35.0,5.0,10.0,60.0,10.0,10.0,8.0,15.0,-0.08696,0.08304,0.0119232881100802,-0.1225162866666593,67.08,9.1,10.3,10.33,0.0,9.19,12.0,11.5,2,29,21,1,102,100,1,14,101.42,99.8,41.66,2.4,21,21,1,0.5714285714285714,0.6190476190476191,4.761904761904762,57.33857142857141,11.9462344118258,7.482965389887492,7.482965389887492,7.998379230499268,7.998379230499268,2.604846106071838,2.604846106071838,2.321400779016952,2.321400779016952,2.5879249352329405,2.5879249352329405,2.2595256589898725,2.2595256589898725,8.974879817257676,14.280357562615,36.71055653443672,4.497524157651546,6.650737011060424,9.082288940358046,8.861154556274414,9.49077718330216,15.220028439027724,39.9036000985269,4.392752056350209,5.368376283132559,7.49074020677107,10.165966033935549,9.03398703459199,14.416311860870692,37.23714259714591,4.831746519980707,7.034905376094129,9.90227433929102,8.900675062090158,9.65362108205324,15.574869093447948,41.21663806345328,4.964521692463248,6.066207130913047,9.034366488861258,10.195311028510332,8.974879817257676,14.280357562615,36.71055653443672,4.497524157651546,6.650737011060424,9.082288940358046,8.861154556274414,9.49077718330216,15.220028439027724,39.9036000985269,4.392752056350209,5.368376283132559,7.49074020677107,10.165966033935549,9.03398703459199,14.416311860870692,37.23714259714591,4.831746519980707,7.034905376094129,9.90227433929102,8.900675062090158,9.65362108205324,15.574869093447948,41.21663806345328,4.964521692463248,6.066207130913047,9.034366488861258,10.195311028510332,2,2.0,1_10_1,5.0,"The few rooms to rent were fully booked every summer with people enjoying its empty beaches, clear seas and fresh seafood.",Ele,2.0,2.0
3,1_10_Adv_2,4.90858268737793,4.908582724630833,5.64382266998291,5.643822938203812,-0.63279,1070,700.0,8,20,25,7.0,6.0,10.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,7.0,8.0,5.0,60.0,25.0,23.0,35.0,12.0,10.0,45.0,12.0,30.0,8.0,25.0,0.17985,0.35985,-0.033053267535479,-0.0560780100000073,63.7,8.4,11.4,11.08,0.0,9.36,10.7,9.0,3,24,16,1,82,79,2,11,100.52,97.39,41.71,2.7,16,16,1,0.5,0.5,4.9375,94.58567499999998,10.697395114434062,8.550219729542732,8.550219729542732,8.481241300702095,8.481241300702095,2.5062963059860337,2.5062963059860337,1.7709609447735415,1.7709609447735415,2.4786352275256647,2.4786352275256647,1.681178642534796,1.681178642534796,7.663492581546809,12.133522954003912,31.46015095723453,7.366062483831421,7.856487275544379,19.742465827803176,9.673246145248411,9.179737811961104,15.133971346563268,42.4073669142188,10.553665810737392,11.005985705864155,28.636360979694725,11.536203861236572,7.724881540510228,12.26013850167302,31.932815530443754,7.566409078399452,8.09634129757763,20.55494932374249,9.645326250465589,9.373334711664796,15.53071180995751,43.92379559193576,11.048587461806438,11.62973391190129,30.26148799195103,11.522901291260496,7.663492581546809,12.133522954003912,31.46015095723453,7.366062483831421,7.856487275544379,19.742465827803176,9.673246145248411,9.179737811961104,15.133971346563268,42.4073669142188,10.553665810737392,11.005985705864155,28.636360979694725,11.536203861236572,7.724881540510228,12.26013850167302,31.932815530443754,7.566409078399452,8.09634129757763,20.55494932374249,9.645326250465589,9.373334711664796,15.53071180995751,43.92379559193576,11.048587461806438,11.62973391190129,30.26148799195103,11.522901291260496,2,2.0,1_10_2,1.0,"But, because the island still runs on cash, the closure of banks nationwide has been devastating.",Adv,3.0,3.0
4,1_10_Adv_2,5.028146266937256,5.028146187293118,5.214791297912598,5.214790286817427,-0.08946,20,490.0,12,20,30,7.0,6.0,8.0,8.0,12.0,8.0,6.0,6.0,11.0,8.0,7.0,8.0,5.0,60.0,15.0,20.0,45.0,18.0,20.0,60.0,20.0,15.0,14.0,25.0,0.04734,0.18795,-0.0289791871145029,6.457304728571415,67.42,11.1,14.36,9.53,0.0,8.34,14.8,17.5,3,38,29,1,134,131,3,23,99.26,96.2,41.23,2.3,29,29,1,0.3870967741935484,0.4516129032258064,4.586206896551724,71.01479310344828,10.583579783077171,6.925205695218053,6.925205695218053,7.948345361084773,7.948345361084773,2.307829720649506,2.307829720649506,2.121035620512914,2.121035620512914,2.23834038772393,2.23834038772393,2.0706470194743734,2.0706470194743734,8.118348533956695,13.34010933133926,37.48461786447733,12.20233784922081,12.874539696425153,24.928211300771853,12.28798234462738,8.63149830003485,14.638124947426,44.63181138334544,17.436182283964488,17.495514409583063,29.797261620372364,17.282376289367676,8.322000801175784,13.83231763598311,39.76856067265236,13.782646482774798,14.57362281005023,27.308889030890928,12.305058244615791,8.767695168610091,14.968296540424149,46.27093794832036,18.547222486761395,18.633641122462883,31.644033862780013,17.321711529046297,8.118348533956695,13.34010933133926,37.48461786447733,12.20233784922081,12.874539696425153,24.928211300771853,12.28798234462738,8.63149830003485,14.638124947426,44.63181138334544,17.436182283964488,17.495514409583063,29.797261620372364,17.282376289367676,8.322000801175784,13.83231763598311,39.76856067265236,13.782646482774798,14.57362281005023,27.308889030890928,12.305058244615791,8.767695168610091,14.968296540424149,46.27093794832036,18.547222486761395,18.633641122462883,31.644033862780013,17.321711529046297,2,2.0,1_10_2,2.0,Residents have been forced to make nine-hour round trips to the nearest big island to get cash and Greek visitors say they can't get together enough cash to come.,Adv,3.0,3.0
5,1_10_Adv_2,4.74415922164917,4.744158866313788,5.568029403686523,5.568029940128326,-0.53327,40,330.0,7,15,10,7.0,6.0,8.0,8.0,7.0,6.0,6.0,6.0,7.0,8.0,6.0,6.0,5.0,75.0,15.0,15.0,15.0,5.0,10.0,70.0,12.0,5.0,8.0,15.0,-0.04016,0.12584,-0.1838401072197558,7.226657215384606,78.93,8.7,10.4,7.09,0.0,8.57,12.4,13.0,1,31,26,1,115,108,0,21,108.32,106.55,45.81,1.6,26,26,1,0.4615384615384615,0.6153846153846154,4.153846153846154,55.71337692307692,11.60002297558819,7.47415412360659,7.47415412360659,8.46331908611151,8.46331908611151,3.296362419682789,3.296362419682789,2.4725592848112856,2.4725592848112856,3.2850095200498552,3.2850095200498552,2.4143859670893844,2.4143859670893844,7.693884072649809,12.89475066474479,39.56634494645717,17.059283247574605,17.34646262610866,27.501310269738223,17.991228580474854,9.242942712657769,15.770703577355633,49.450479870500665,18.448257487389,18.80419254961652,28.369351267926803,18.29388928413391,7.708334747743923,12.911656360159173,39.593649098075,16.978738548046266,17.278214652932228,27.357529406465723,17.98547350114677,9.362711604443223,16.006807982428498,50.3394285312922,18.68600814315881,19.1147400844815,29.348000603875903,18.56458219885826,7.693884072649809,12.89475066474479,39.56634494645717,17.059283247574605,17.34646262610866,27.501310269738223,17.991228580474854,9.242942712657769,15.770703577355633,49.450479870500665,18.448257487389,18.80419254961652,28.369351267926803,18.29388928413391,7.708334747743923,12.911656360159173,39.593649098075,16.978738548046266,17.278214652932228,27.357529406465723,17.98547350114677,9.362711604443223,16.006807982428498,50.3394285312922,18.68600814315881,19.1147400844815,29.348000603875903,18.56458219885826,3,3.0,1_10_2,3.0,"""Tourist numbers are down 80% this year,"" said Mayor Maria Kakali, in an office in the village where she grew up, home to around 200 people.",Adv,3.0,3.0
6,1_10_Adv_2,4.839912414550781,4.839912907944785,5.169219017028809,5.1692191693517895,-0.50045,10,50.0,8,20,20,8.0,4.0,5.0,8.0,5.0,7.0,6.0,3.0,6.0,8.0,7.0,7.0,5.0,65.0,15.0,20.0,15.0,15.0,10.0,40.0,18.0,15.0,22.0,25.0,0.01788,0.19188,-0.1346062808575245,6.779419650000001,78.59,6.8,7.2,7.54,0.0,6.28,9.6,8.0,0,23,18,1,84,78,0,13,110.48,109.23,46.87,1.7,18,18,1,0.6842105263157895,0.5263157894736842,4.388888888888889,67.07406666666665,10.067476037335696,7.444581158303966,7.444581158303966,8.29927659779787,8.29927659779787,2.1383382002825946,2.1383382002825946,1.8089486641792831,1.8089486641792831,2.079661358352684,2.079661358352684,1.770275967677749,1.770275967677749,7.620300029625671,12.210850503408132,32.77186750535433,9.34719261041871,9.74615516933182,16.57533402094118,11.05245566368103,8.218414425831313,13.283554797092084,36.21150422813009,9.489904116504457,9.529081575714038,14.321356510031638,12.853149890899658,7.755796397056962,12.510093126393643,34.11457382397047,10.118475342824768,10.59500554771266,17.282646509036223,11.744760751724243,8.309371859056272,13.484891450682069,37.09214004998868,9.969223287524516,10.025205527267508,14.943002649352875,12.928785525262356,7.620300029625671,12.210850503408132,32.77186750535433,9.34719261041871,9.74615516933182,16.57533402094118,11.05245566368103,8.218414425831313,13.283554797092084,36.21150422813009,9.489904116504457,9.529081575714038,14.321356510031638,12.853149890899658,7.755796397056962,12.510093126393643,34.11457382397047,10.118475342824768,10.59500554771266,17.282646509036223,11.744760751724243,8.309371859056272,13.484891450682069,37.09214004998868,9.969223287524516,10.025205527267508,14.943002649352875,12.928785525262356,3,3.0,1_10_2,4.0,"""Even people born here and living in Athens, who have their own places on the island, aren't coming.""",Adv,3.0,3.0
