text_id,Adv_flesch_reading_ease,Adv_flesch_kincaid_grade_score,Adv_dale_chall_score,Adv_gunning_fog_index,Adv_coleman_liau_index,Adv_smog_index,Adv_ARI,Adv_CAREC,Adv_CARES,Adv_CML2RI,Adv_cpidr_density,Adv_avg_integration_cost,Adv_max_integration_cost,Adv_avg_embedding_depth,Adv_max_embedding_depth,Adv_mean_entropy_pythia,Adv_word_length,Adv_wordFreq_frequency,Adv_n_words,Adv_sentence_count,Adv_syllable_count_textstats,Adv_depid_density,Adv_total_integration_cost,Adv_CAREC_M,Adv_mean_entropy_gpt2,Adv_comprehension_score,Adv_QA_RT,Adv_Pythia 70M Mean,Adv_Pythia 70M Max,Ele_flesch_reading_ease,Ele_flesch_kincaid_grade_score,Ele_dale_chall_score,Ele_gunning_fog_index,Ele_coleman_liau_index,Ele_smog_index,Ele_ARI,Ele_CAREC,Ele_CARES,Ele_CML2RI,Ele_cpidr_density,Ele_avg_integration_cost,Ele_max_integration_cost,Ele_avg_embedding_depth,Ele_max_embedding_depth,Ele_mean_entropy_pythia,Ele_word_length,Ele_wordFreq_frequency,Ele_n_words,Ele_sentence_count,Ele_syllable_count_textstats,Ele_depid_density,Ele_total_integration_cost,Ele_CAREC_M,Ele_mean_entropy_gpt2,Ele_comprehension_score,Ele_QA_RT,Ele_Pythia 70M Mean,Ele_Pythia 70M Max,diff_flesch_reading_ease,diff_flesch_kincaid_grade_score,diff_dale_chall_score,diff_gunning_fog_index,diff_coleman_liau_index,diff_smog_index,diff_ARI,diff_CAREC,diff_CARES,diff_CML2RI,diff_cpidr_density,diff_avg_integration_cost,diff_max_integration_cost,diff_avg_embedding_depth,diff_max_embedding_depth,diff_mean_entropy_pythia,diff_word_length,diff_wordFreq_frequency,diff_n_words,diff_sentence_count,diff_syllable_count_textstats,diff_depid_density,diff_total_integration_cost,diff_CAREC_M,diff_mean_entropy_gpt2,diff_comprehension_score,diff_QA_RT,diff_Pythia 70M Mean,diff_Pythia 70M Max
1_10_1,55.92,13.4,9.66,14.47,10.4,11.9,17.1,0.12781,0.2512718070369654,0.868170453448279,0.494949494949495,0.4498828868394085,7.0,3.0,3,7.5471396,4.6020408163265305,11.62497018730766,98,3,134,0.4444444444444444,46.0,0.19768,6.924933,0.8666666666666667,8302.433333333332,5.4764338,29.193563,73.58,6.6,8.47,7.48,9.21,9.4,8.5,0.13462,0.1708844342470413,6.243059434747469,0.4933333333333333,0.5364568764568765,8.0,2.4,3,7.720419,4.698630136986301,11.020546189963236,73,5,104,0.4666666666666667,46.0,0.22778,6.803399,0.7666666666666667,9448.433333333332,5.2656183,33.523083,-17.659999999999997,6.800000000000001,1.1899999999999995,6.99,1.1899999999999995,2.5,8.600000000000001,-0.006809999999999983,0.08038737278992408,-5.37488898129919,0.001616161616161682,-0.08657398961746793,-1.0,0.6000000000000001,0.0,-0.1732793999999993,-0.09658932065977055,0.6044239973444245,25.0,-2.0,30.0,-0.022222222222222254,0.0,-0.030100000000000016,0.12153400000000047,0.09999999999999998,-1146.0,0.21081549999999982,-4.329519999999999
1_10_2,74.22,8.4,8.11,10.72,8.83,9.5,11.6,0.11208,0.1651993805351477,18.23837043311688,0.4891304347826087,0.5808035714285714,11.0,2.5,3,7.329167,4.48314606741573,10.796598894129415,89,4,116,0.5108695652173914,62.0,0.16963,6.668053,0.9333333333333332,8243.833333333334,5.045897,18.824762,81.43,5.7,7.69,6.96,6.78,6.4,7.1,0.09036,0.149828996575849,14.381797496851554,0.4893617021276595,0.6358698470313715,7.0,2.333333333333333,3,7.3075814,4.285714285714286,10.588796046763743,91,6,117,0.4787234042553192,72.0,0.1444,6.5774684,0.9666666666666668,8494.333333333334,4.9094133,19.753624,-7.210000000000008,2.7,0.41999999999999904,3.7600000000000007,2.05,3.0999999999999996,4.5,0.021720000000000003,0.015370383959298711,3.8565729362653265,-0.0002312673450508007,-0.055066275602800085,4.0,0.16666666666666696,0.0,0.02158559999999987,0.19743178170144482,0.2078028473656719,-2.0,-2.0,-1.0,0.03214616096207218,-10.0,0.025230000000000002,0.09058459999999968,-0.03333333333333355,-250.5,0.13648370000000032,-0.9288619999999987
1_10_3,33.08,22.2,10.11,23.27,9.36,0.0,27.1,0.14752,0.2578851226612091,3.4709282242424067,0.4774774774774775,0.4225711218464841,3.0,4.0,4,7.370734,4.458715596330276,10.762279759383516,109,2,149,0.4054054054054054,54.0,0.20998,6.909545,0.8333333333333334,8281.866666666667,5.15414,16.482012,78.59,6.8,7.16,8.31,6.49,8.8,7.8,0.12173,0.1272507770209573,13.491869943181795,0.4722222222222222,0.3006114130434782,2.0,2.0,3,7.0136437,4.095890410958904,10.622270481498958,73,4,91,0.4166666666666667,26.0,0.21591,6.779823,0.9,7617.433333333333,4.713281,16.480972,-45.510000000000005,15.399999999999999,2.9499999999999993,14.959999999999999,2.869999999999999,-8.8,19.3,0.025790000000000007,0.1306343456402518,-10.020941718939389,0.005255255255255276,0.12195970880300588,1.0,2.0,1.0,0.3570902999999994,0.36282518537137154,0.1400092778845572,36.0,-2.0,58.0,-0.011261261261261313,28.0,-0.005929999999999991,0.12972199999999923,-0.06666666666666665,664.4333333333334,0.44085899999999967,0.0010399999999997078
1_10_4,60.48,11.7,9.5,13.91,9.17,12.5,14.3,0.12652,0.4710587885786587,11.627955730612246,0.5029940119760479,0.5237210822303989,16.0,2.833333333333333,6,7.4256005,4.527272727272727,11.081168650440649,165,6,227,0.4583333333333333,106.0,0.12496,6.57115,0.9333333333333332,10803.3,5.27078,31.435192,80.11,6.2,7.92,8.72,7.77,9.8,8.4,0.07594,0.3151326923350084,16.474253405766138,0.5,0.5318131868131868,10.0,2.75,5,7.684982,4.386363636363637,11.011338060601688,132,8,175,0.4552238805970149,84.0,0.09956,6.8192697,0.9666666666666668,9868.366666666669,5.0334444,32.666656,-19.630000000000003,5.499999999999999,1.58,5.1899999999999995,1.4000000000000004,2.6999999999999993,5.9,0.05058,0.15592609624365028,-4.846297675153892,0.0029940119760478723,-0.008092104582787862,6.0,0.08333333333333304,1.0,-0.25938149999999993,0.14090909090909065,0.06983058983896129,33.0,-2.0,52.0,0.0031094527363184077,22.0,0.025400000000000006,-0.24811970000000017,-0.03333333333333355,934.9333333333307,0.23733560000000065,-1.2314640000000026
1_10_5,49.69,13.7,10.02,14.95,10.63,13.0,16.4,0.18731,0.3295932856162749,5.154786262499977,0.5378151260504201,0.4224759111855886,7.0,3.5,5,8.372035,4.73109243697479,11.41932255952888,119,4,177,0.475,58.0,0.24131,7.5454683,0.8,8360.2,5.900735,31.562513,62.07,9.0,8.46,9.77,9.28,9.9,10.0,0.12651,0.1769865559954535,12.480141522916654,0.5113636363636364,0.3634465299277605,6.0,2.4,3,8.399281,4.625,11.218263023090255,88,5,128,0.4886363636363636,41.0,0.20632,7.7035465,0.9333333333333332,6414.166666666667,5.889784,36.724525,-12.380000000000003,4.699999999999999,1.5599999999999987,5.18,1.3500000000000014,3.0999999999999996,6.399999999999999,0.06079999999999999,0.1526067296208214,-7.325355260416677,0.02645148968678379,0.059029381257828084,1.0,1.1,2.0,-0.02724599999999988,0.10609243697478998,0.20105953643862406,31.0,-1.0,49.0,-0.013636363636363613,17.0,0.03498999999999999,-0.15807820000000028,-0.1333333333333332,1946.0333333333338,0.010951000000000377,-5.162012000000001
1_10_6,75.24,8.1,9.38,11.33,9.46,10.1,11.7,0.15504,0.359357497020205,9.75235359350479,0.5390625,0.4595429080723198,16.0,2.833333333333333,6,7.0269604,4.6171875,11.358663863788246,128,6,172,0.5390625,75.0,0.18489,6.811021,0.8,8509.933333333332,5.0917754,17.395967,78.79,6.7,9.49,9.82,8.99,9.4,9.8,0.1117,0.2523642358597074,14.88063801132075,0.5280898876404494,0.3850935550935551,5.0,2.4,4,7.4497595,4.544444444444444,12.173679409960116,90,5,120,0.4943820224719101,41.0,0.17054,6.91992,0.8333333333333334,8980.066666666668,5.21206,17.396175,-3.5500000000000114,1.3999999999999995,-0.10999999999999943,1.5099999999999998,0.47000000000000064,0.6999999999999993,1.8999999999999986,0.04334000000000002,0.10699326116049757,-5.12828441781596,0.010972612359550604,0.0744493529787647,11.0,0.4333333333333331,2.0,-0.42279909999999976,0.07274305555555571,-0.8150155461718693,38.0,1.0,52.0,0.0446804775280899,34.0,0.014350000000000002,-0.10889900000000008,-0.033333333333333326,-470.13333333333503,-0.12028459999999974,-0.0002080000000006521
1_10_7,62.55,12.9,8.59,15.89,7.9,12.6,16.2,0.22593,0.3626709775822339,15.321175471037163,0.4852941176470588,0.5455827067669172,24.0,3.25,4,7.0845137,4.251851851851852,10.5552354835088,135,4,176,0.3897058823529412,96.0,0.25535,6.1927447,0.8333333333333334,9543.8,5.138238,32.47519,75.74,7.9,8.16,9.86,7.95,9.9,10.4,0.16764,0.2424479854780834,14.728576246153818,0.4571428571428571,0.5574424214130096,23.0,2.6,4,7.365455,4.355769230769231,10.662572783144707,104,5,136,0.4,78.0,0.22637,6.45424,0.9,9891.466666666667,5.2294903,33.006184,-13.189999999999998,5.0,0.4299999999999997,6.030000000000001,-0.04999999999999982,2.6999999999999993,5.799999999999999,0.05828999999999998,0.12022299210415047,0.5925992248833456,0.028151260504201747,-0.011859714646092367,1.0,0.6499999999999999,0.0,-0.2809413000000003,-0.1039173789173784,-0.10733729963590655,31.0,-1.0,40.0,-0.010294117647058842,18.0,0.028980000000000034,-0.2614953,-0.06666666666666665,-347.6666666666679,-0.09125229999999984,-0.5309939999999997
1_1_1,51.52,13.0,9.82,15.49,10.74,13.4,15.6,0.23388,0.3170199985113562,7.70061786666667,0.4473684210526316,0.491790969358881,9.0,3.25,4,7.591819,4.785714285714286,11.007633437167536,112,4,165,0.4122807017543859,62.0,0.298,6.302224,0.9666666666666668,10451.4,4.975776,14.268832,67.28,9.0,8.92,11.01,8.41,10.4,10.4,0.20022,0.2804158850097163,10.871089963328206,0.4230769230769231,0.4505671296296296,7.0,2.2,3,6.806022,4.432692307692308,10.527376578248209,104,5,141,0.4038461538461538,54.0,0.26422,5.6186266,0.7666666666666667,10686.133333333331,4.3828077,14.38987,-15.759999999999998,4.0,0.9000000000000004,4.48,2.33,3.0,5.199999999999999,0.033659999999999995,0.03660411350163989,-3.170472096661536,0.02429149797570851,0.04122383972925142,2.0,1.0499999999999998,1.0,0.7857970000000005,0.3530219780219772,0.48025685891932746,8.0,-1.0,24.0,0.008434547908232115,8.0,0.03377999999999998,0.6835974,0.20000000000000007,-234.73333333333176,0.5929682999999999,-0.12103800000000042
1_1_2,72.16,7.2,8.52,10.69,9.22,11.2,9.6,0.11292,0.3156248189908145,10.444091532565276,0.4649122807017544,0.3637806637806637,4.0,3.0,5,7.4226,4.610619469026549,10.559293966652024,113,7,162,0.4310344827586206,54.0,0.174,6.4640894,0.8666666666666667,7861.633333333333,4.677556,15.861483,84.57,4.5,7.21,7.66,6.95,9.2,6.2,-0.03108,0.1215518880692225,20.8641698019608,0.4712643678160919,0.345581477553906,6.0,2.4285714285714284,5,7.2123084,4.376470588235295,10.060302477627207,85,7,114,0.4606741573033708,43.0,0.04492,6.341446,0.9333333333333332,8572.533333333333,4.2877846,11.143464,-12.409999999999997,2.7,1.3099999999999996,3.0299999999999994,2.2700000000000005,2.0,3.3999999999999995,0.14400000000000002,0.194072930921592,-10.420078269395523,-0.00635208711433749,0.018199186226757702,-2.0,0.5714285714285716,0.0,0.2102915999999997,0.2341488807912544,0.49899148902481727,28.0,0.0,48.0,-0.029639674544750194,11.0,0.12907999999999997,0.1226433999999994,-0.06666666666666654,-710.8999999999996,0.3897713999999999,4.718019
1_1_3,67.72,10.9,8.55,14.74,9.41,12.5,14.8,0.09245,0.242004044707034,10.83533276730767,0.4942528735632184,0.4542397660818713,5.0,2.0,3,7.040467,4.511627906976744,10.20095038950386,86,3,116,0.425287356321839,50.0,0.16281,6.488149,0.9333333333333332,9078.5,4.446352,17.033836,89.28,4.7,6.93,7.59,5.74,8.1,5.9,0.11272,0.0958673315274981,9.660545138636362,0.4285714285714285,0.4175668303327877,4.0,2.0,3,6.6972046,4.015873015873016,9.813518710610191,63,4,75,0.365079365079365,33.0,0.20735,6.457329,0.8666666666666667,8564.233333333334,4.0758257,11.762644,-21.560000000000002,6.2,1.620000000000001,7.15,3.67,4.4,8.9,-0.020269999999999996,0.1461367131795359,1.1747876286713073,0.0656814449917899,0.03667293574908359,1.0,0.0,0.0,0.3432623999999995,0.4957548911037284,0.3874316788936678,23.0,-1.0,41.0,0.060207991242474,17.0,-0.044539999999999996,0.03082000000000029,0.06666666666666654,514.2666666666664,0.37052629999999986,5.271192000000001
