text_id,align_idx,rank_ET,rank_Formula,rank_Psycholinguistic,rank_LLM,rank_std,ET_minus_Formula,Psycholinguistic_minus_Formula,ET_minus_Psycholinguistic,ET_minus_LLM,diff_mean_nonzero_TF,diff_SkipRateTotal,diff_RegRateTotal,diff_flesch_reading_ease,diff_dale_chall_score,diff_gunning_fog_index,diff_ARI,diff_coleman_liau_index,diff_flesch_kincaid_grade_score,diff_CML2RI,diff_CAREC,diff_CARES,diff_SBERT,diff_text_evaluator,diff_lexile,diff_cpidr_density,diff_avg_integration_cost,diff_avg_embedding_depth,diff_PLL_bert-base-uncased,diff_PPL Pythia 70M,diff_mean_entropy_pythia,diff_word_length,diff_wordFreq_frequency,diff_llama-3.3-70b-versatile_simple_specific_prompt,diff_gpt-4o_simple_specific_prompt,diff_gpt-5_simple_specific_prompt,diff_gemini-2.0-flash_simple_specific_prompt,diff_gemini-2.5-pro_simple_specific_prompt,diff_claude-sonnet-4-0_simple_specific_prompt,psycholing_uniquely_aligned_with_ET
2_1_2,292,32.9957805907173,82.54219409282702,33.88449367088607,99.57805907172997,33.988078486666645,-49.546413502109715,-48.657700421940945,-0.8887130801687704,-66.58227848101266,-51.59107022348934,0.07320261437908498,-0.16623093681917217,-16.910000000000004,2.8199999999999994,7.329999999999998,11.9,4.45,8.600000000000001,-6.444935203333337,-0.18353,0.2727412617172827,-0.48634,850.0,1510.0,-0.09999999999999998,-0.14864864864864868,1.0,76.8704376220703,-1121.2027894599137,-2.5490798950195312,-0.06666666666666643,0.38614993732877245,8.0,7.0,8.0,8.0,8.0,7.0,48.657700421940945
1_9_6,263,93.9240506329114,25.047468354430382,39.264240506329116,23.44936708860759,33.10732573691401,68.87658227848102,14.216772151898734,54.659810126582286,70.47468354430382,77.54039528432725,0.045045045045045085,0.21147039897039902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.216772151898738
3_8_3,839,50.04219409282701,92.71097046413502,34.34335443037975,99.10337552742617,31.7747008168154,-42.668776371308006,-58.36761603375527,15.698839662447263,-49.061181434599156,5.2993754971683416,0.09232731554160128,-0.0416285103785104,-82.91,4.119999999999999,17.43,11.0,7.960000000000001,15.3,-6.93107598769231,0.12079999999999999,0.1742539971838986,-0.30495999999999995,850.0,1280.0,-0.1428571428571428,-0.02884615384615391,1.0,13.780780792236328,-562.8098640125336,-1.8620719909667969,0.7619047619047619,-1.3692594119563264,6.0,11.0,9.0,7.0,7.0,5.0,26.969936708860743
2_4_5,399,64.13502109704642,4.5042194092827,19.390822784810126,65.32700421940928,31.078464533614714,59.63080168776372,14.886603375527425,44.74419831223629,-1.1919831223628563,-4.748721929517046,0.025952595259525923,0.061337383738373885,20.980000000000004,-1.8399999999999999,-6.599999999999998,-3.0999999999999996,-1.8100000000000005,-3.8999999999999995,2.564000634999985,-0.08133,-0.003008525391149401,1.06822,-60.0,-270.0,-0.10416666666666669,-0.06534090909090912,-0.5,20.77956771850586,-188.005572806589,-0.6368436813354492,-0.20833333333333304,-0.7055710505761041,0.0,3.0,3.0,2.0,5.0,2.0,14.886603375527429
2_9_2,547,11.265822784810126,44.07700421940928,37.935126582278485,86.21308016877636,31.022638429291554,-32.811181434599156,-6.141877637130797,-26.66930379746836,-74.94725738396623,-15.476316659818053,-0.0517057833234304,-0.07648791839968311,-4.059999999999995,0.20000000000000107,-0.07000000000000028,1.4000000000000004,1.0199999999999996,1.5,-2.015815311111119,-0.051580000000000015,0.051671807533408096,-0.4071500000000001,570.0,-640.0,0.0,0.15873015873015872,-1.0,7.262434005737301,-378.44352658370406,-0.05103635787963867,-0.08333333333333304,0.10748829069784449,5.0,4.0,7.0,5.0,3.0,2.0,6.141877637130797
3_1_2,611,23.037974683544306,56.51898734177215,60.71993670886076,94.5253164556962,29.235083422255357,-33.48101265822785,4.2009493670886044,-37.68196202531645,-71.4873417721519,-43.21913959613693,0.009115059067105136,-0.0993024718248503,-6.259999999999991,0.6399999999999988,5.1899999999999995,8.8,4.46,4.499999999999999,2.5427552865079335,-0.14318999999999998,0.0977722013747929,-0.12357000000000001,0.0,690.0,0.0946291560102302,-0.06,0.0,24.640182495117188,48.144823036272385,0.44576120376586825,0.358056265984656,0.03251663061092458,5.0,5.0,7.0,4.0,6.0,3.0,-4.2009493670886044
2_3_4,383,76.87763713080169,18.027426160337555,35.54588607594937,12.225738396624472,29.206041459731647,58.85021097046413,17.518459915611814,41.33175105485232,64.65189873417722,48.282918882480715,0.0022380669439492906,0.1059813824519707,2.030000000000001,-0.09999999999999998,-0.7999999999999998,-1.1000000000000005,-0.41999999999999993,-0.7999999999999998,0.65720253333334,0.09461,-0.03419198754204128,0.0,-40.0,-20.0,-0.05594405594405594,-0.0817307692307693,0.0,1.4057540893554688,19.831079759356484,-0.008911609649659091,0.033333333333333215,0.11204997267465622,-1.0,0.0,-1.0,-1.0,0.0,0.0,17.518459915611814
3_2_2,637,64.9789029535865,85.54852320675104,29.501582278481013,91.80379746835443,28.082139321465306,-20.569620253164544,-56.04694092827003,35.47732067510549,-26.824894514767934,68.82803085816647,0.06316964285714288,-0.05200892857142858,-29.599999999999994,4.299999999999999,8.33,6.200000000000001,2.7700000000000014,7.2,-9.703651725824166,0.27821,0.2228496836671406,-0.13668,340.0,680.0,-0.09999999999999998,-0.07142857142857151,0.5,18.61319923400879,-127.63673877688811,-0.9297652244567871,0.06666666666666643,-0.40564084577760795,4.0,8.0,3.0,4.0,7.0,4.0,-14.907700421940945
3_6_7,784,82.0675105485232,25.047468354430382,39.264240506329116,21.782700421940927,27.74293158312774,57.020042194092824,14.216772151898734,42.803270042194086,60.28481012658227,66.9457070707071,0.004807692307692291,0.1292925824175824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,14.216772151898738
1_4_3,132,27.805907172995777,87.47362869198314,62.6503164556962,84.73628691983123,27.578551372015937,-59.66772151898736,-24.823312236286938,-34.844409282700425,-56.930379746835456,30.043135900057962,-0.06638319353836603,-0.045144898593174526,-32.15,1.75,11.520000000000001,10.3,4.959999999999999,8.2,-9.207945305555555,0.06867,0.1064289070887815,-0.45281000000000005,500.0,1430.0,0.08620689655172409,-0.019607843137254888,1.0,47.582576751708984,-12.711867324462474,-0.44615793228149414,0.7216748768472909,0.45449721251411646,8.0,2.0,7.0,3.0,7.0,2.0,24.823312236286938
