metric,group,n,mean,std,mean_std
number_of_passages,original,108016,108016.0,,108016
number_of_sentences,original,108016,108016.0,,108016
words_per_passage,original,108016,21.191499407495186,8.779303151024035,21.19 ± 8.78
sentences_per_passage,original,108016,1.0,0.0,1.00 ± 0.00
sentence_length_words,original,108016,21.191499407495186,8.779303151024035,21.19 ± 8.78
word_length_characters,original,2289021,4.939554508237364,2.7819039309056635,4.94 ± 2.78
word_frequency_wordfreq,original,2289021,12.098145883595443,6.169257579051806,12.10 ± 6.17
word_surprisal_pythia70m,original,2289021,5.911724054703537,5.234731469488059,5.91 ± 5.23
number_of_passages,simplified,108016,108016.0,,108016
number_of_sentences,simplified,108016,114924.0,,114924
words_per_passage,simplified,108016,17.38265627314472,7.8277412458340025,17.38 ± 7.83
sentences_per_passage,simplified,108016,1.063953488372093,0.259258220341001,1.06 ± 0.26
sentence_length_words,simplified,108016,16.526087395021165,7.120465291018278,16.53 ± 7.12
word_length_characters,simplified,1877605,4.783393205706205,2.6499820619380867,4.78 ± 2.65
word_frequency_wordfreq,simplified,1877605,11.868619261516104,6.031407634475219,11.87 ± 6.03
word_surprisal_pythia70m,simplified,1877605,5.984116226530614,5.105112095917865,5.98 ± 5.11
