unique_paragraph_id,Llama-2 7B Mean,Llama-2 13B Mean,OPT 6.7B Mean,Pythia 2.8B Mean,Pythia 6.9B Mean,GPT-J 6B Mean,Mistral-v0.1 7B Mean,Mistral-v0.3 7B Mean,Mistral-Instruct-v0.3 7B,GPT-2 117M Mean,GPT-2 345M Mean,GPT-2 774M Mean,GPT-2 1558M Mean,GPT-Neo 125M Mean,GPT-Neo 1.3B Mean,GPT-Neo 2.7B Mean,OPT 350M Mean,OPT 1.3B Mean,OPT 2.7B Mean,Pythia 70M Mean,Pythia 160M Mean,Pythia 410M Mean,Pythia 1B Mean,Pythia 1.4B Mean,Gemma 7B Mean,Recurrent-Gemma 9B Mean,Gemma-2 9B Mean,GEMMA-2 27B,RWKV-4 169M Mean,RWKV-4 430M Mean,RWKV-4 3B Mean,RWKV-4 7B Mean,Mamba 370M Mean,Mamba 790M Mean,Mamba 1.4B Mean,Mamba 2.8B Mean
1_10_Adv_1,3.1149433,3.063899,3.4596221,3.591132,3.5142426,3.4215963,2.9380322,2.9212658,2.9765987,4.783832,4.2272983,3.9880786,3.802546,4.734537,3.7937582,3.6357553,4.3829036,3.8164644,3.6736596,5.4764338,4.8710327,4.1718674,3.9369082,3.75972,2.930705,2.9950347,3.0518727,2.8085907,4.5143356,3.86091,3.529179,3.3658307,4.101544,3.7930808,3.605886,3.4593515
1_10_Adv_2,3.6818118,3.644564,3.6922238,3.9905317,3.7982788,3.7790084,3.681635,3.7262642,3.8256092,4.315235,4.0722337,3.9754891,3.9084384,4.6167192,4.023672,3.9161832,4.2444663,4.001465,3.8656008,5.045897,4.453531,4.2965765,4.075009,4.1096964,3.4955227,3.494967,3.534405,3.3593943,4.4774218,4.119136,3.983307,3.8553624,4.118877,4.063548,3.8968148,3.7676635
1_10_Adv_3,3.9385684,3.9451022,4.144019,4.2525773,4.1314106,4.227306,3.8957922,3.9009144,3.9421103,4.8364706,4.569952,4.4602184,4.3289957,4.993602,4.4205236,4.343886,4.779478,4.128919,4.1325626,5.15414,4.9993825,4.6460767,4.5473347,4.4373465,3.8876827,3.9126816,4.055993,3.8096783,4.787889,4.544632,4.2260523,4.0958223,4.513251,4.3403673,4.233108,3.9754224
1_10_Adv_4,3.4602942,3.3983135,3.655649,3.9192262,3.8331528,3.828551,3.383997,3.3947172,3.489918,4.6178846,4.342989,4.1396585,4.0322614,4.8148384,4.1546216,3.9333906,4.3483534,4.083904,3.7799325,5.27078,4.7556577,4.2637763,4.103531,4.04734,3.4374712,3.3843303,3.4936733,3.2769814,4.50191,4.263117,3.9628365,3.7294855,4.1115003,3.9340858,3.9346533,3.7188036
1_10_Adv_5,3.8531017,3.673541,4.0850244,4.126661,4.0643363,4.141863,3.682717,3.7394862,3.8267624,5.064069,4.6988597,4.349768,4.3805356,5.3637066,4.4544954,4.247905,4.8235016,4.396027,4.2111955,5.900735,5.393216,4.6177545,4.51132,4.2499914,3.7253578,3.7864785,3.8122728,3.4930673,5.0116215,4.5594573,4.1745276,4.0330977,4.4978957,4.3524175,4.181691,4.1748266
1_10_Adv_6,3.740323,3.533572,3.8467596,3.7392397,3.7493956,3.761063,3.5654104,3.5472786,3.6227918,4.5020823,4.123281,3.985701,3.9146426,4.4933143,3.9047337,3.876996,4.146501,3.9293232,3.8179262,5.0917754,4.632876,4.019669,3.824036,3.8450873,3.5533788,3.6232026,3.5607939,3.4047441,4.323474,3.9831464,3.8329885,3.7231312,3.9016647,3.9649673,3.8343077,3.7529523
1_10_Adv_7,3.4962773,3.3848753,3.6379297,3.8778389,3.6288137,3.6902833,3.3650239,3.3283482,3.370249,4.5281577,4.010066,4.0634284,3.8105307,4.5538898,3.908144,3.8982906,4.2783484,3.9884372,3.7295957,5.138238,4.7078557,4.283088,4.030693,3.9875858,3.540306,3.4349592,3.4491358,3.3057044,4.5178022,4.2250633,3.8164299,3.6811671,4.128519,3.9429986,3.8365338,3.6538327
1_10_Ele_1,3.0022867,2.961557,3.1666038,3.4882033,3.3976862,3.2681334,2.878602,2.8785915,2.9177823,4.6105127,4.0187674,3.7455707,3.5864742,4.540041,3.5857506,3.4498627,4.1680408,3.6035306,3.271636,5.2656183,4.6359363,4.015405,3.688384,3.5403953,2.9666324,2.9391901,3.0112348,2.8778648,4.4312387,3.8533363,3.3347652,3.1635942,3.7909818,3.6325202,3.4254806,3.2304273
1_10_Ele_2,3.5743818,3.4491055,3.6699853,3.8178678,3.682081,3.6114347,3.4729662,3.4629378,3.5387423,4.197669,4.0924115,3.8978248,3.8345814,4.5054684,3.9833393,3.8270345,4.1341944,3.8795094,3.8103545,4.9094133,4.385739,4.1100783,3.9360392,3.9686031,3.500061,3.4473565,3.5482993,3.3479538,4.2509017,3.9582248,3.8332617,3.685303,4.0196915,3.9801545,3.7609515,3.643493
1_10_Ele_3,3.658541,3.7061412,3.8102663,3.8904579,3.8707635,3.8251405,3.6162632,3.6472828,3.7375848,4.2655554,4.1603456,4.0764112,4.0184293,4.492074,4.0359554,4.028838,4.2536917,3.8373146,3.7974808,4.713281,4.487227,4.242947,4.1005707,3.952512,3.6614864,3.6812146,3.6600282,3.568269,4.464251,4.1747546,3.875466,3.8795395,4.142263,4.0549784,3.9782758,3.815954
