unique_paragraph_id,align_idx,Llama-2 7B Mean,Llama-2 13B Mean,OPT 6.7B Mean,Pythia 2.8B Mean,Pythia 6.9B Mean,GPT-J 6B Mean,Mistral-v0.1 7B Mean,Mistral-v0.3 7B Mean,Mistral-Instruct-v0.3 7B,GPT-2 117M Mean,GPT-2 345M Mean,GPT-2 774M Mean,GPT-2 1558M Mean,GPT-Neo 125M Mean,GPT-Neo 1.3B Mean,GPT-Neo 2.7B Mean,OPT 350M Mean,OPT 1.3B Mean,OPT 2.7B Mean,Pythia 70M Mean,Pythia 160M Mean,Pythia 410M Mean,Pythia 1B Mean,Pythia 1.4B Mean,Gemma 7B Mean,Recurrent-Gemma 9B Mean,Gemma-2 9B Mean,GEMMA-2 27B,RWKV-4 169M Mean,RWKV-4 430M Mean,RWKV-4 3B Mean,RWKV-4 7B Mean,Mamba 370M Mean,Mamba 790M Mean,Mamba 1.4B Mean,Mamba 2.8B Mean
1_10_Adv_1,0,3.641149,3.5199172,3.7777987,3.959704,4.000712,3.8924198,3.3176334,3.3114011,3.3514807,5.244147,4.5579515,4.264571,3.9942334,5.05093,4.0699744,3.8482015,4.8795915,4.374086,4.1317596,5.8196974,5.2611446,4.4664216,4.4527154,4.084575,3.384488,3.3555417,3.5713127,3.2721956,4.691845,4.1250215,3.7550273,3.7732873,4.257324,4.0140314,3.9187052,3.810896
1_10_Adv_1,1,4.395172,4.290172,4.492717,4.3187547,4.1408143,4.283451,4.1567345,4.2026825,4.32134,4.8080115,4.4412155,4.4535165,4.457949,5.134271,4.6432204,4.51179,4.880726,4.4648733,4.483728,6.5003605,5.328217,4.7477555,4.686701,4.38849,4.1097784,4.431314,4.7037673,4.0716743,4.991551,4.548669,4.4663734,4.0918894,4.6083713,4.7028823,4.592238,4.3610597
1_10_Adv_1,2,3.577275,3.700109,3.9509332,4.0251007,3.9529493,3.9466412,3.6617737,3.6142046,3.7374585,4.8199234,4.5612807,4.374921,4.342503,4.896232,4.252941,4.04997,4.679114,4.2815356,4.235834,5.2327785,4.9012194,4.3261285,4.41426,4.2172785,3.5020015,3.6005394,3.6533382,3.5056722,4.878222,4.2571554,3.836604,3.8054252,4.4274125,4.3778462,4.108601,3.8571653
1_10_Adv_2,3,4.706454,4.6832724,5.0244155,5.1442356,4.7473326,4.8171573,4.847726,4.8503056,5.1183653,4.9085946,4.8680954,4.868307,4.9133444,5.176919,5.0426726,5.176233,5.4361506,5.3322167,5.321864,5.6438656,5.330615,5.2803116,5.197322,5.2442226,4.907319,4.690453,4.508545,4.569824,5.2030144,5.2660885,4.96248,4.690239,5.06128,5.1401024,5.0943174,4.887312
1_10_Adv_2,4,4.2985363,4.3943114,4.5705357,4.5988355,4.340057,4.3547306,4.3618374,4.38407,4.563709,5.028146,4.472671,4.274822,4.161599,5.3960223,4.4934816,4.3977036,4.9553466,4.61713,4.51622,5.214786,4.817609,4.7357674,4.4938903,4.5084696,4.33852,4.3307,4.5920033,4.2475247,5.047595,4.6697884,4.5144353,4.7014427,4.567776,4.426473,4.31821,4.498273
1_10_Adv_2,5,4.495052,4.458521,4.5742617,4.505831,4.6711645,4.651044,4.4640536,4.519099,4.592972,4.74416,4.7938137,4.741254,4.8257933,5.2508187,4.852386,4.7912083,4.5480313,4.665768,4.7592344,5.56791,5.042145,5.0187836,4.94333,4.6821465,4.659146,4.4799485,4.7855225,4.4923882,5.153078,4.793193,4.6942286,4.678008,4.827416,4.7323947,4.795689,4.911015
1_10_Adv_2,6,4.7424417,4.9097,4.977866,5.0037065,5.023578,4.9393435,4.929339,4.995936,5.290914,4.8399124,4.963717,4.9390106,5.111459,5.116976,4.849517,4.94941,4.8553243,4.85894,4.846403,5.169378,5.116827,5.0094466,5.0693407,5.0715146,4.832758,4.873766,4.7637467,4.78424,5.084089,5.0382895,4.7465663,4.9410157,5.053229,4.993812,4.8497295,5.060498
1_10_Adv_3,7,4.0909047,4.2045584,4.3820686,4.440393,4.2506213,4.363717,4.034817,4.0061593,4.059934,4.9309587,4.716103,4.6024284,4.6039653,5.153819,4.589437,4.540645,4.9572105,4.274991,4.3217883,5.2253103,5.1807337,4.8185577,4.68027,4.6445127,3.9756541,4.0400186,4.185192,3.8674946,4.985938,4.697388,4.4191055,4.2732983,4.6877103,4.530783,4.4626102,4.096278
1_10_Adv_3,8,4.445734,4.345922,4.3936415,4.3651276,4.459866,4.681249,4.2274075,4.2443457,4.329624,5.0536184,4.6785088,4.4854474,4.3328986,5.2234035,4.5199027,4.417544,4.8838634,4.5279794,4.4953623,5.23288,5.255086,4.650761,4.6373873,4.5648303,4.4052076,4.3069773,4.3887606,4.3154507,4.876176,4.725187,4.3994513,4.463298,4.77718,4.6058955,4.511974,4.4617105
1_10_Adv_4,9,4.299739,4.059079,4.666729,4.9134927,4.668536,4.7738495,4.113427,4.0846977,4.3246365,4.9716635,4.9840736,4.955398,4.941505,5.3892145,4.986088,4.880457,5.0494843,5.1383963,4.743892,5.4941754,5.2944326,4.9525137,4.8803067,4.8773227,4.130952,4.1352086,4.6324573,4.0715904,5.1093764,5.003057,4.6526318,4.362659,4.9836593,4.5697303,4.819017,4.3120093
