Metric,OneStop,OneStop,PWKP,PWKP,CLEAR
,Original,Simplified,Original,Simplified,CLEAR
Number of paragraphs,162,162,NA,NA,"12,010"
Number of sentences,936,931,"108,016","114,924","45,212"
Words per paragraph,119.92 ± 27.94,97.14 ± 23.56,NA,NA,67.64 ± 47.38
Sentences per paragraph,5.78 ± 2.02,5.75 ± 1.76,NA,NA,3.76 ± 3.04
Sentence length (words),20.76 ± 10.27,16.90 ± 7.90,21.19 ± 8.78,16.53 ± 7.12,19.13 ± 8.52
Word length (characters),4.91 ± 2.70,4.72 ± 2.49,4.94 ± 2.78,4.78 ± 2.65,4.45 ± 2.37
Word frequency (Wordfreq),11.26 ± 5.40,10.98 ± 5.23,12.10 ± 6.17,11.87 ± 6.03,10.76 ± 4.91
Word surprisal (Pythia-70m),5.01 ± 4.00,4.77 ± 3.80,5.91 ± 5.23,5.98 ± 5.11,4.71 ± 3.72
