index,text_id,s_idx,sentence,align_idx,level,unique_paragraph_id,total_integration_cost,avg_integration_cost,max_integration_cost
0,1_10_1,1.0,"Agios Efstratios is so remote, so forgotten by the banks, the government and most of the modern world that the mobile phone network can't process data and there isn't a single ATM or credit-card machine on the island.",0,Adv,1_10_Adv_1,14.0,0.3111111111111111,2.0
1,1_10_1,2.0,"Before Greece was plunged into financial chaos, residents of this tranquil outpost in the northern Aegean managed quite well.",1,Adv,1_10_Adv_1,15.0,0.6521739130434783,7.0
2,1_10_1,3.0,"They did their banking at the post office and the few dozen rooms to rent were booked out every summer with people who had heard - by word of mouth - of its spectacular empty beaches, clear seas and fresh seafood.",2,Adv,1_10_Adv_1,17.0,0.38636363636363635,3.0
3,1_10_1,1.0,"The Greek island of Agios Efstratios is very remote. It has been forgotten by the banks, the government and most of the modern world. It doesn't have a single ATM or credit-card machine.",0,Ele,1_10_Ele_1,21.0,0.5384615384615384,6.0
4,1_10_1,4.0,"Before the economic crisis in Greece, the people of this peaceful island in the northern Aegean lived quite well.",1,Ele,1_10_Ele_1,13.0,0.5909090909090909,8.0
5,1_10_1,5.0,"The few rooms to rent were fully booked every summer with people enjoying its empty beaches, clear seas and fresh seafood.",2,Ele,1_10_Ele_1,12.0,0.48,2.0
6,1_10_2,1.0,"But, because the island still runs on cash, the closure of banks nationwide has been devastating.",3,Adv,1_10_Adv_2,18.0,0.8571428571428571,11.0
7,1_10_2,2.0,Residents have been forced to make nine-hour round trips to the nearest big island to get cash and Greek visitors say they can't get together enough cash to come.,4,Adv,1_10_Adv_2,14.0,0.4375,2.0
8,1_10_2,3.0,"""Tourist numbers are down 80% this year,"" said Mayor Maria Kakali, in an office in the village where she grew up, home to around 200 people.",5,Adv,1_10_Adv_2,15.0,0.42857142857142855,4.0
9,1_10_2,4.0,"""Even people born here and living in Athens, who have their own places on the island, aren't coming.""",6,Adv,1_10_Adv_2,15.0,0.6,7.0
10,1_10_2,1.0,But the island still uses only cash so the closure of the Greek banks has had a serious effect.,3,Ele,1_10_Ele_2,12.0,0.5714285714285714,4.0
11,1_10_2,2.0,Local people have to make nine-hour round trips to the nearest big island to get cash. Greek visitors say they don't have enough cash to come.,4,Ele,1_10_Ele_2,23.0,0.7931034482758621,7.0
12,1_10_2,4.0,"""Tourist numbers have reduced by 80% this year,"" said Mayor Maria Kakali, in an office in the village where she grew up. The village has about 200 people.",5,Ele,1_10_Ele_2,22.0,0.5789473684210527,7.0
13,1_10_2,6.0,"""Even people born here and living in Athens, who have their own places on the island, aren't coming.""",6,Ele,1_10_Ele_2,15.0,0.6,7.0
