text_id,level,total_integration_cost,avg_integration_cost,max_integration_cost
1_10_1,Adv,46.0,0.4498828868394085,7.0
1_10_1,Ele,46.0,0.5364568764568765,8.0
1_10_2,Adv,62.0,0.5808035714285714,11.0
1_10_2,Ele,72.0,0.6358698470313715,7.0
1_10_3,Adv,54.0,0.4225711218464841,3.0
1_10_3,Ele,26.0,0.30061141304347827,2.0
1_10_4,Adv,106.0,0.5237210822303989,16.0
1_10_4,Ele,84.0,0.5318131868131868,10.0
1_10_5,Adv,58.0,0.4224759111855886,7.0
1_10_5,Ele,41.0,0.36344652992776055,6.0
1_10_6,Adv,75.0,0.45954290807231984,16.0
1_10_6,Ele,41.0,0.3850935550935551,5.0
1_10_7,Adv,96.0,0.5455827067669172,24.0
1_10_7,Ele,78.0,0.5574424214130096,23.0
1_1_1,Adv,62.0,0.49179096935888106,9.0
1_1_1,Ele,54.0,0.45056712962962964,7.0
1_1_2,Adv,54.0,0.36378066378066376,4.0
1_1_2,Ele,43.0,0.345581477553906,6.0
1_1_3,Adv,50.0,0.45423976608187133,5.0
1_1_3,Ele,33.0,0.41756683033278774,4.0
1_1_4,Adv,35.0,0.344598495683034,2.0
1_1_4,Ele,29.0,0.39122807017543854,2.0
1_1_5,Adv,48.0,0.5332176432745692,11.0
1_1_5,Ele,44.0,0.761437908496732,12.0
1_1_6,Adv,61.0,0.3946491228070175,8.0
1_1_6,Ele,45.0,0.5498533724340176,8.0
1_1_7,Adv,66.0,0.3952061171795055,5.0
1_1_7,Ele,57.0,0.5132850241545894,12.0
1_2_1,Adv,105.0,0.7217755928282245,16.0
1_2_1,Ele,60.0,0.5143135849657589,9.0
1_2_2,Adv,75.0,0.473362340597435,19.0
1_2_2,Ele,80.0,0.5265587426616838,19.0
1_2_3,Adv,93.0,0.5351874003189793,18.0
1_2_3,Ele,38.0,0.41382575757575757,4.0
1_2_4,Adv,83.0,0.41985902296461297,12.0
1_2_4,Ele,53.0,0.38079777365491646,5.0
